x,y,species_1 cloglog values
1.0,1.0,0.77001786
2.0,2.0,0.004588312
3.0,3.0,0.1967067
4.0,4.0,0.03493079
5.0,5.0,0.0023406676
6.0,6.0,0.5199875
7.0,7.0,9.425204E-5
8.0,8.0,0.008166
9.0,9.0,0.0067540156
10.0,10.0,0.07625812
11.0,11.0,0.012572093
12.0,12.0,3.8354323E-5
13.0,13.0,0.016197048
14.0,14.0,0.024672382
15.0,15.0,0.7827024
16.0,16.0,0.004540734
17.0,17.0,0.90525454
18.0,18.0,2.7540622E-5
19.0,19.0,0.007544055
20.0,20.0,0.004495144
21.0,21.0,0.005294438
22.0,22.0,0.0010784203
23.0,23.0,0.13190356
24.0,24.0,0.009288936
25.0,25.0,2.2296204E-5
26.0,26.0,1.1072543E-4
27.0,27.0,0.039558154
28.0,28.0,0.40536407
29.0,29.0,0.005592955
30.0,30.0,0.0015868953
31.0,31.0,0.0044933846
32.0,32.0,5.1556864E-5
33.0,33.0,0.0022762578
34.0,34.0,0.0014575437
35.0,35.0,0.01338066
36.0,36.0,3.3209108E-5
37.0,37.0,2.4361754E-4
38.0,38.0,0.0019908762
39.0,39.0,0.0073081497
40.0,40.0,0.0070600915
41.0,41.0,0.0014091154
42.0,42.0,0.062497396
43.0,43.0,9.61133E-4
44.0,44.0,0.0024931745
45.0,45.0,5.8973725E-5
46.0,46.0,1.0374031E-5
47.0,47.0,0.0063354666
48.0,48.0,0.004356318
49.0,49.0,1.1007505E-4
50.0,50.0,0.24389069
51.0,51.0,0.036649276
52.0,52.0,0.0052892533
53.0,53.0,0.7530245
54.0,54.0,0.13586238
55.0,55.0,0.004948135
56.0,56.0,9.613093E-4
57.0,57.0,2.7056097E-4
58.0,58.0,0.2626141
59.0,59.0,0.005830177
60.0,60.0,0.01890073
61.0,61.0,0.0014115112
62.0,62.0,0.008737926
63.0,63.0,0.0011737176
64.0,64.0,0.013089902
65.0,65.0,0.0045323945
66.0,66.0,5.2837848E-5
67.0,67.0,0.08991049
