Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.20595E-11,0.000000001,0.00000002,1,0,0
1.50725E-11,0.000000003,0.000000025,0.999896459,0,0
2.14179E-11,0.00000001,0.000000035,0.999482294,0,0
3.58539E-11,0.000000025,0.000000059,0.998964589,0,0
7.08695E-11,0.000000101,0.000000117,0.997411472,0,0
1.22127E-10,0.000000253,0.000000201,0.995754815,0,0
3.93796E-10,0.000001012,0.000000648,0.992648581,0,0
6.42115E-10,0.000002523,0.000001057,0.989645889,0,0
1.3272E-9,0.00001007,0.000002185,0.98125906,0,0
2.63402E-9,0.000025072,0.000004336,0.973182854,0,0
4.01731E-9,0.000050189,0.000006613,0.965417271,0,0
6.15673E-9,0.000100389,0.000010134,0.955270242,0,0
1.14033E-8,0.000251027,0.000018771,0.936839925,0,0
1.96793E-8,0.000500861,0.000032393,0.920169807,0,0
3.24217E-8,0.00100137,0.000053367,0.900082833,0,0
6.30918E-8,0.002500295,0.000103849,0.866224891,0,0
1.04999E-7,0.005010326,0.000172823,0.83516256,0,0
1.61307E-7,0.01001237,0.00026549,0.796127563,0,0
3.17275E-7,0.025007159,0.000522125,0.727997515,0,0
5.68196E-7,0.050025763,0.000934861,0.668979085,0,0
9.86068E-7,0.100028212,0.001621836,0.600124249,0,0
1.89566E-6,0.200099614,0.003115563,0.525056948,0,0
2.63322E-6,0.300248742,0.004325131,0.479084697,0,0
3.24807E-6,0.400230399,0.00533233,0.443880721,0,0
3.81842E-6,0.500202952,0.006265728,0.414475047,0,0
4.48311E-6,0.600344844,0.007352423,0.389314558,0,0
5.28429E-6,0.700090328,0.008660668,0.36798509,0,0
5.63266E-6,0.750368863,0.009228993,0.358459308,0,0
6.06931E-6,0.800585909,0.00994086,0.349554773,0,0
6.75293E-6,0.900513184,0.011054342,0.333402361,0,0
7.44978E-6,1.00003736,0.012188083,0.318906606,0,0
8.15478E-6,1.100710369,0.013333769,0.305549803,0,0
9.16804E-6,1.200781609,0.014978073,0.293539035,0,0
1.02133E-5,1.300663038,0.016671461,0.282874301,0,0
1.12763E-5,1.400507663,0.018390621,0.273244978,0,0
1.25946E-5,1.501033628,0.020518354,0.264547525,0,0
1.57656E-5,1.75088152,0.025617713,0.246117209,0,0
1.95305E-5,2.000833577,0.031637539,0.231207289,0,0
2.40962E-5,2.251458562,0.038888053,0.219196521,0,0
2.91039E-5,2.502840792,0.046777996,0.209463657,0,0
3.67119E-5,2.752025434,0.058641154,0.201594533,0,0
4.41438E-5,3.001913228,0.070087254,0.195174984,0,0
5.12478E-5,3.251581944,0.080898077,0.189790847,0,0
5.90218E-5,3.504780182,0.092584559,0.185027956,0,0
6.38787E-5,3.750961519,0.099810337,0.180886312,0,0
7.30393E-5,4.006546615,0.113282542,0.177055291,0,0
7.85867E-5,4.25695429,0.121342831,0.173638434,0,0
8.39147E-5,4.500038236,0.129015213,0.170532201,0,0
8.99919E-5,4.751636154,0.137684719,0.167529509,0,0
9.61223E-5,5.003649314,0.14634279,0.164733899,0,0
1.02844E-4,5.251208919,0.155735752,0.162145372,0.01754386,0
1.12852E-4,5.510659638,0.169529938,0.159660385,0.01754386,0
1.1898E-4,5.754953471,0.177865238,0.157486022,0.01754386,0
1.26086E-4,6.012391098,0.187425638,0.155311659,0.035087719,0.071428571
1.32184E-4,6.258008392,0.19554178,0.153344378,0.035087719,0.071428571
1.40986E-4,6.505496697,0.207113245,0.151480638,0.035087719,0.071428571
1.49302E-4,6.752585657,0.217892482,0.149720439,0.035087719,0.071428571
1.55224E-4,7.012538713,0.22548026,0.14796024,0.052631579,0.071428571
1.62977E-4,7.252088675,0.235302026,0.146407124,0.052631579,0.071428571
1.68168E-4,7.500425892,0.2418083,0.144854007,0.052631579,0.071428571
1.80849E-4,7.76273183,0.257470452,0.14330089,0.052631579,0.071428571
1.85767E-4,8.000865891,0.263457505,0.141954856,0.052631579,0.071428571
1.96842E-4,8.250392612,0.276762965,0.140608822,0.052631579,0.071428571
2.02894E-4,8.511048484,0.283932602,0.139262787,0.052631579,0.071428571
2.09602E-4,8.759186087,0.291796338,0.138020294,0.052631579,0.071428571
2.17448E-4,9.014534753,0.300883552,0.136777801,0.052631579,0.071428571
2.22969E-4,9.257189921,0.307208822,0.135638849,0.052631579,0.071428571
2.31917E-4,9.507645553,0.317337987,0.134499896,0.052631579,0.071428571
2.37621E-4,9.765689593,0.323717791,0.133360944,0.070175439,0.071428571
2.42251E-4,10.006730814,0.328852089,0.132325533,0.070175439,0.071428571
2.50612E-4,10.253352447,0.338025853,0.131290122,0.070175439,0.071428571
2.58322E-4,10.508008269,0.3463741,0.130254711,0.070175439,0.071428571
2.63518E-4,10.768818112,0.351940759,0.1292193,0.070175439,0.071428571
2.68049E-4,11.008124656,0.356756331,0.12828743,0.070175439,0.071428571
2.72291E-4,11.251976266,0.361231879,0.12735556,0.070175439,0.071428571
2.76571E-4,11.527076032,0.365717042,0.126320149,0.070175439,0.071428571
2.80009E-4,11.777628079,0.369295732,0.125388279,0.070175439,0.071428571
2.86144E-4,12.004518575,0.375633253,0.12455995,0.070175439,0.071428571
2.91453E-4,12.264302075,0.381065755,0.12362808,0.070175439,0.071428571
2.97125E-4,12.500150451,0.386818241,0.122799752,0.070175439,0.071428571
3.01849E-4,12.769505143,0.391567233,0.121867882,0.070175439,0.071428571
3.06639E-4,13.013938758,0.39634606,0.121039553,0.070175439,0.071428571
3.11482E-4,13.260874168,0.401138742,0.120211224,0.070175439,0.071428571
3.16504E-4,13.512240336,0.406068985,0.119382895,0.070175439,0.071428571
