x,y,species avg
1.0,1.0,0.7194244
2.0,2.0,0.0043591224
3.0,3.0,0.22426488
4.0,4.0,0.019036934
5.0,5.0,0.0022872388
6.0,6.0,0.42847744
7.0,7.0,7.693507E-5
8.0,8.0,0.0033409721
9.0,9.0,0.0074932575
10.0,10.0,0.08538861
11.0,11.0,0.009249373
12.0,12.0,1.7775219E-5
13.0,13.0,0.016547557
14.0,14.0,0.050026044
15.0,15.0,0.7534531
16.0,16.0,0.0056082956
17.0,17.0,0.8765268
18.0,18.0,1.2663326E-5
19.0,19.0,0.0046805423
20.0,20.0,0.0039835568
21.0,21.0,0.005675304
22.0,22.0,0.0012813845
23.0,23.0,0.1535449
24.0,24.0,0.007826391
25.0,25.0,5.625379E-6
26.0,26.0,9.3802846E-5
27.0,27.0,0.030009609
28.0,28.0,0.43483543
29.0,29.0,0.006052046
30.0,30.0,0.013478485
31.0,31.0,0.004280275
32.0,32.0,5.7038473E-5
33.0,33.0,0.0018912373
34.0,34.0,8.061437E-4
35.0,35.0,0.010864702
36.0,36.0,1.6324164E-5
37.0,37.0,2.8498864E-4
38.0,38.0,0.0017984861
39.0,39.0,0.0039014267
40.0,40.0,0.009657386
41.0,41.0,0.0011465633
42.0,42.0,0.05565743
43.0,43.0,8.011885E-4
44.0,44.0,0.019334864
45.0,45.0,3.8879287E-5
46.0,46.0,3.9611145E-6
47.0,47.0,0.006354438
48.0,48.0,0.0052505163
49.0,49.0,7.3671436E-5
50.0,50.0,0.25427055
51.0,51.0,0.061848287
52.0,52.0,0.0065065464
53.0,53.0,0.5796476
54.0,54.0,0.12781748
55.0,55.0,0.005106507
56.0,56.0,5.6238123E-4
57.0,57.0,3.0143664E-4
58.0,58.0,0.27150217
59.0,59.0,0.005848579
60.0,60.0,0.0118696755
61.0,61.0,5.6601776E-4
62.0,62.0,0.005945824
63.0,63.0,0.0012622367
64.0,64.0,0.005664574
65.0,65.0,0.004476635
66.0,66.0,3.6390902E-5
67.0,67.0,0.10858907
68.0,68.0,0.016883958
69.0,69.0,0.0048991116
70.0,70.0,0.020541495
71.0,71.0,0.010360185
72.0,72.0,1.5531607E-4
73.0,73.0,0.004258835
74.0,74.0,1.0495688E-4
75.0,75.0,2.8696622E-5
76.0,76.0,3.6162694E-4
77.0,77.0,0.08404254
78.0,78.0,0.0016410988
79.0,79.0,0.007840534
80.0,80.0,0.0039582006
81.0,81.0,6.685543E-4
82.0,82.0,0.3284768
83.0,83.0,0.007131234
84.0,84.0,0.008721951
85.0,85.0,0.5481814
86.0,86.0,0.49015293
87.0,87.0,0.06372915
88.0,88.0,0.005947777
89.0,89.0,0.06969712
90.0,90.0,0.8008293
91.0,91.0,0.015309226
92.0,92.0,0.0075567598
93.0,93.0,2.0358742E-5
94.0,94.0,0.022120217
95.0,95.0,0.4160596
96.0,96.0,0.0019580116
97.0,97.0,0.024931932
98.0,98.0,0.0038589092
99.0,99.0,7.574676E-4
100.0,100.0,0.011930376
101.0,101.0,3.309984E-4
102.0,102.0,7.541961E-5
103.0,103.0,0.42936194
104.0,104.0,0.0020490997
105.0,105.0,0.0023081973
106.0,106.0,7.317923E-4
107.0,107.0,0.1330022
108.0,108.0,0.8453894
109.0,109.0,3.9704504E-5
110.0,110.0,0.8831879
111.0,111.0,0.009117484
112.0,112.0,0.046529464
113.0,113.0,4.0714103E-6
114.0,114.0,0.045652147
115.0,115.0,0.0110883005
116.0,116.0,0.51061404
117.0,117.0,0.007721895
118.0,118.0,0.010339169
119.0,119.0,0.60625684
120.0,120.0,0.010572604
121.0,121.0,0.003144679
122.0,122.0,2.3258207E-4
123.0,123.0,3.2092305E-4
124.0,124.0,0.01812058
125.0,125.0,0.14323702
126.0,126.0,0.020069411
