x,y,species max
1.0,1.0,0.7889752
2.0,2.0,0.0053415042
3.0,3.0,0.37668657
4.0,4.0,0.03493079
5.0,5.0,0.0028405183
6.0,6.0,0.5199875
7.0,7.0,1.2032555E-4
8.0,8.0,0.008166
9.0,9.0,0.01007428
10.0,10.0,0.11769288
11.0,11.0,0.012572093
12.0,12.0,3.8354323E-5
13.0,13.0,0.01888753
14.0,14.0,0.07383879
15.0,15.0,0.80431443
16.0,16.0,0.007401167
17.0,17.0,0.9313707
18.0,18.0,2.7540622E-5
19.0,19.0,0.007544055
20.0,20.0,0.0056095785
21.0,21.0,0.0067702485
22.0,22.0,0.0018904263
23.0,23.0,0.2114696
24.0,24.0,0.009753994
25.0,25.0,2.2296204E-5
26.0,26.0,2.4412261E-4
27.0,27.0,0.039558154
28.0,28.0,0.4832086
29.0,29.0,0.0073083723
30.0,30.0,0.0247797
31.0,31.0,0.006009125
32.0,32.0,1.4131013E-4
33.0,33.0,0.0031648993
34.0,34.0,0.0014575437
35.0,35.0,0.01338066
36.0,36.0,3.3209108E-5
37.0,37.0,5.186817E-4
38.0,38.0,0.0024095892
39.0,39.0,0.0073081497
40.0,40.0,0.0123323
41.0,41.0,0.0014670129
42.0,42.0,0.065874636
43.0,43.0,0.001358126
44.0,44.0,0.040577672
45.0,45.0,5.8973725E-5
46.0,46.0,1.0374031E-5
47.0,47.0,0.0067475443
48.0,48.0,0.007254571
49.0,49.0,1.3732525E-4
50.0,50.0,0.30477685
51.0,51.0,0.09336522
52.0,52.0,0.00809832
53.0,53.0,0.7530245
54.0,54.0,0.14392483
55.0,55.0,0.005472596
56.0,56.0,9.613093E-4
57.0,57.0,8.491533E-4
58.0,58.0,0.29512817
59.0,59.0,0.007736978
60.0,60.0,0.01890073
61.0,61.0,0.0014115112
62.0,62.0,0.00919125
63.0,63.0,0.0017744626
64.0,64.0,0.013089902
65.0,65.0,0.0070468355
66.0,66.0,7.1882256E-5
67.0,67.0,0.16568159
68.0,68.0,0.021059832
69.0,69.0,0.008183288
70.0,70.0,0.0366618
71.0,71.0,0.01368773
72.0,72.0,2.7396172E-4
73.0,73.0,0.0050775292
74.0,74.0,1.8544498E-4
75.0,75.0,8.522569E-5
76.0,76.0,7.2737795E-4
77.0,77.0,0.13458896
78.0,78.0,0.0023864054
79.0,79.0,0.013544109
80.0,80.0,0.0063865324
81.0,81.0,0.0010000702
82.0,82.0,0.48600733
83.0,83.0,0.009276811
84.0,84.0,0.013931495
85.0,85.0,0.6852359
86.0,86.0,0.5470798
87.0,87.0,0.08061599
88.0,88.0,0.008256663
89.0,89.0,0.10790243
90.0,90.0,0.81749636
91.0,91.0,0.023197418
92.0,92.0,0.010653361
93.0,93.0,5.19474E-5
94.0,94.0,0.03522892
95.0,95.0,0.46494177
96.0,96.0,0.002244698
97.0,97.0,0.03496953
98.0,98.0,0.009002007
99.0,99.0,9.397509E-4
100.0,100.0,0.021346731
101.0,101.0,6.5231737E-4
102.0,102.0,1.8222955E-4
103.0,103.0,0.52174723
104.0,104.0,0.0040297527
105.0,105.0,0.0031205933
106.0,106.0,0.0013086941
107.0,107.0,0.18735814
108.0,108.0,0.9436913
109.0,109.0,8.189264E-5
110.0,110.0,0.9213102
111.0,111.0,0.012652357
112.0,112.0,0.0750284
113.0,113.0,7.907346E-6
114.0,114.0,0.07850805
115.0,115.0,0.016434846
116.0,116.0,0.5914604
117.0,117.0,0.0102031445
118.0,118.0,0.01214821
119.0,119.0,0.6793261
120.0,120.0,0.021731906
121.0,121.0,0.0042306706
122.0,122.0,4.6793124E-4
123.0,123.0,6.8700337E-4
124.0,124.0,0.036963537
125.0,125.0,0.17790014
126.0,126.0,0.049499612
127.0,127.0,2.0271029E-4
128.0,128.0,2.2850747E-4
129.0,129.0,0.037050392
130.0,130.0,0.022466421
131.0,131.0,5.272779E-4
132.0,132.0,0.022681134
133.0,133.0,2.4597502E-5
134.0,134.0,0.81879044
135.0,135.0,3.3466035E-4
136.0,136.0,0.40180293
137.0,137.0,0.12958802
138.0,138.0,0.07973677
139.0,139.0,0.03222926
140.0,140.0,8.3247456E-4
141.0,141.0,0.28733933
142.0,142.0,2.7896614E-5
143.0,143.0,0.7172049
144.0,144.0,0.70816296
145.0,145.0,7.0036855E-4
146.0,146.0,0.65335745
147.0,147.0,0.6944426
148.0,148.0,0.26684356
149.0,149.0,0.007152332
150.0,150.0,0.014527604
151.0,151.0,2.314946E-5
152.0,152.0,0.03204363
153.0,153.0,0.0017707408
154.0,154.0,0.0011329995
155.0,155.0,0.51763916
156.0,156.0,0.0011008051
157.0,157.0,0.004224775
158.0,158.0,0.05428395
159.0,159.0,0.013970549
160.0,160.0,0.010811564
161.0,161.0,0.0046665757
162.0,162.0,0.014283995
163.0,163.0,0.88412434
164.0,164.0,0.01121628
165.0,165.0,0.0039489116
166.0,166.0,0.02423713
167.0,167.0,0.124517225
168.0,168.0,8.373865E-6
169.0,169.0,0.049450066
170.0,170.0,0.053606473
171.0,171.0,2.563395E-4
172.0,172.0,0.044847354
173.0,173.0,1.3234587E-4
174.0,174.0,0.009769927
175.0,175.0,0.017287241
176.0,176.0,4.165706E-4
177.0,177.0,0.0010165856
178.0,178.0,0.0063767633
179.0,179.0,0.42157692
180.0,180.0,0.3094312
181.0,181.0,0.02015367
182.0,182.0,4.29484E-4
183.0,183.0,0.6918166
184.0,184.0,0.24860382
185.0,185.0,0.012101343
186.0,186.0,2.2446313E-4
187.0,187.0,5.042741E-4
188.0,188.0,0.0029903527
189.0,189.0,0.0029913788
190.0,190.0,0.013032674
191.0,191.0,9.660644E-5
192.0,192.0,3.2275293E-5
193.0,193.0,0.012774454
194.0,194.0,0.008723376
195.0,195.0,2.4025088E-5
196.0,196.0,0.023211466
197.0,197.0,0.12372282
198.0,198.0,0.0090778
199.0,199.0,0.012454955
200.0,200.0,2.6664245E-6
201.0,201.0,0.05825235
202.0,202.0,3.6701567E-5
203.0,203.0,0.0154185165
204.0,204.0,1.0841348E-4
205.0,205.0,0.9819331
206.0,206.0,0.0030148667
207.0,207.0,0.9424102
208.0,208.0,0.0022797624
209.0,209.0,0.01687262
210.0,210.0,0.104247175
211.0,211.0,2.4660136E-5
212.0,212.0,0.005479786
213.0,213.0,1.298613E-4
214.0,214.0,0.0013122228
215.0,215.0,0.6957859
216.0,216.0,0.74835044
217.0,217.0,0.8065321
218.0,218.0,0.0028495106
219.0,219.0,0.06855251
220.0,220.0,6.490484E-4
221.0,221.0,0.1323818
222.0,222.0,0.74988574
223.0,223.0,0.0064935237
224.0,224.0,0.0010615053
225.0,225.0,0.5884382
226.0,226.0,0.010763872
227.0,227.0,0.010301335
228.0,228.0,1.4866436E-4
229.0,229.0,0.0019278663
230.0,230.0,0.01220231
231.0,231.0,0.009718117
232.0,232.0,7.526651E-4
233.0,233.0,2.6279472E-6
234.0,234.0,7.1296377E-6
235.0,235.0,1.700913E-5
236.0,236.0,0.037585422
237.0,237.0,0.023100367
238.0,238.0,8.3376755E-5
239.0,239.0,0.012006069
240.0,240.0,0.0038811888
241.0,241.0,0.0028942295
242.0,242.0,1.7048862E-5
243.0,243.0,0.008070407
244.0,244.0,7.8744E-5
245.0,245.0,0.00468301
246.0,246.0,0.0010912935
247.0,247.0,0.49587703
248.0,248.0,3.644752E-4
249.0,249.0,0.0015695337
250.0,250.0,3.4412897E-5
251.0,251.0,0.19412066
252.0,252.0,5.450982E-4
253.0,253.0,0.001164761
254.0,254.0,2.0328625E-4
255.0,255.0,0.010632356
256.0,256.0,4.522052E-4
257.0,257.0,0.011882033
258.0,258.0,0.39543325
259.0,259.0,0.38690117
260.0,260.0,0.0035779239
261.0,261.0,0.0032185884
262.0,262.0,4.5143612E-4
263.0,263.0,8.000558E-5
264.0,264.0,0.86009645
265.0,265.0,0.010310662
266.0,266.0,0.007854214
267.0,267.0,0.010484927
268.0,268.0,8.253541E-5
269.0,269.0,5.8219724E-5
270.0,270.0,0.2579873
271.0,271.0,2.007865E-4
272.0,272.0,0.0048244023
273.0,273.0,0.83100563
274.0,274.0,0.07317412
275.0,275.0,8.528335E-4
276.0,276.0,1.3370567E-4
277.0,277.0,0.83116925
278.0,278.0,0.68606186
279.0,279.0,0.8092591
280.0,280.0,9.993057E-4
281.0,281.0,3.1268453E-5
282.0,282.0,7.5262535E-5
283.0,283.0,0.0064285514
284.0,284.0,7.4073474E-4
285.0,285.0,0.653872
286.0,286.0,0.008650715
287.0,287.0,6.942022E-4
288.0,288.0,2.8765E-4
289.0,289.0,0.014586363
290.0,290.0,0.0101197725
291.0,291.0,0.61852515
292.0,292.0,0.026554665
293.0,293.0,0.008542173
294.0,294.0,3.896304E-5
295.0,295.0,0.1430056
296.0,296.0,2.3781473E-5
