x,y,species median
1.0,1.0,0.70330137
2.0,2.0,0.004588312
3.0,3.0,0.1967067
4.0,4.0,0.012454538
5.0,5.0,0.0023406676
6.0,6.0,0.40485302
7.0,7.0,8.862584E-5
8.0,8.0,0.002745876
9.0,9.0,0.0068194577
10.0,10.0,0.07625812
11.0,11.0,0.0100004645
12.0,12.0,1.0953562E-5
13.0,13.0,0.016436072
14.0,14.0,0.061358836
15.0,15.0,0.7827024
16.0,16.0,0.0054338346
17.0,17.0,0.88528514
18.0,18.0,1.2582928E-5
19.0,19.0,0.00418316
20.0,20.0,0.004495144
21.0,21.0,0.005294438
22.0,22.0,0.0013346656
23.0,23.0,0.14225556
24.0,24.0,0.009004646
25.0,25.0,1.3089928E-6
26.0,26.0,5.1558316E-5
27.0,27.0,0.032971572
28.0,28.0,0.4171968
29.0,29.0,0.005592955
30.0,30.0,0.014475716
31.0,31.0,0.0044933846
32.0,32.0,3.7747395E-5
33.0,33.0,0.0017034165
34.0,34.0,7.6142326E-4
35.0,35.0,0.011981518
36.0,36.0,1.2956341E-5
37.0,37.0,2.4361754E-4
38.0,38.0,0.0019675894
39.0,39.0,0.0035114307
40.0,40.0,0.009280174
41.0,41.0,0.0012762365
42.0,42.0,0.062497396
43.0,43.0,7.288532E-4
44.0,44.0,0.020833256
45.0,45.0,3.7581485E-5
46.0,46.0,2.8524892E-6
47.0,47.0,0.0063922005
48.0,48.0,0.0047644395
49.0,49.0,5.3358923E-5
50.0,50.0,0.26512438
51.0,51.0,0.049518593
52.0,52.0,0.0064536785
53.0,53.0,0.5745669
54.0,54.0,0.13419582
55.0,55.0,0.005110557
56.0,56.0,5.0819194E-4
57.0,57.0,1.819597E-4
58.0,58.0,0.26379627
59.0,59.0,0.005830177
60.0,60.0,0.011342679
61.0,61.0,3.7474692E-4
62.0,62.0,0.00495025
63.0,63.0,0.001181549
64.0,64.0,0.004565138
65.0,65.0,0.0045323945
66.0,66.0,2.6205298E-5
67.0,67.0,0.097316176
68.0,68.0,0.018062634
69.0,69.0,0.0047669276
70.0,70.0,0.019133765
71.0,71.0,0.010034767
72.0,72.0,1.3393408E-4
73.0,73.0,0.0045849774
74.0,74.0,7.7095385E-5
75.0,75.0,1.4517623E-5
76.0,76.0,2.3142682E-4
77.0,77.0,0.0849057
78.0,78.0,0.0020633927
79.0,79.0,0.008738353
80.0,80.0,0.004594455
81.0,81.0,6.733278E-4
82.0,82.0,0.28693455
83.0,83.0,0.006688054
84.0,84.0,0.00799607
85.0,85.0,0.5192944
86.0,86.0,0.51760054
87.0,87.0,0.0573285
88.0,88.0,0.0063618426
89.0,89.0,0.06670336
90.0,90.0,0.8049273
91.0,91.0,0.0145808235
92.0,92.0,0.007475966
93.0,93.0,1.4231522E-5
94.0,94.0,0.021154894
95.0,95.0,0.4146732
96.0,96.0,0.0022306796
97.0,97.0,0.022460323
98.0,98.0,0.0033207908
99.0,99.0,7.333286E-4
100.0,100.0,0.012480315
101.0,101.0,2.549739E-4
102.0,102.0,5.300673E-5
103.0,103.0,0.44673446
104.0,104.0,0.0015806895
105.0,105.0,0.002242049
106.0,106.0,6.3391216E-4
107.0,107.0,0.10513851
108.0,108.0,0.84347564
109.0,109.0,3.2361957E-5
110.0,110.0,0.8840872
111.0,111.0,0.009338162
112.0,112.0,0.043333735
113.0,113.0,3.7202624E-6
114.0,114.0,0.03812357
115.0,115.0,0.0099254325
116.0,116.0,0.48015332
117.0,117.0,0.0076358104
118.0,118.0,0.010621219
119.0,119.0,0.6199816
120.0,120.0,0.00921706
121.0,121.0,0.003213082
