x,y,species min
1.0,1.0,0.63745576
2.0,2.0,0.0031045445
3.0,3.0,0.14419618
4.0,4.0,0.010848126
5.0,5.0,0.0017586868
6.0,6.0,0.34169328
7.0,7.0,2.166023E-5
8.0,8.0,0.0011388179
9.0,9.0,0.006004706
10.0,10.0,0.06771095
11.0,11.0,0.0062594563
12.0,12.0,3.1387276E-6
13.0,13.0,0.014149146
14.0,14.0,0.017299376
15.0,15.0,0.65441257
16.0,16.0,0.004540734
17.0,17.0,0.825516
18.0,18.0,1.79761E-6
19.0,19.0,0.0032711236
20.0,20.0,0.0023653102
21.0,21.0,0.005010489
22.0,22.0,6.805445E-4
23.0,23.0,0.11347437
24.0,24.0,0.004386588
25.0,25.0,4.6331223E-7
26.0,26.0,2.1202639E-5
27.0,27.0,0.015056648
28.0,28.0,0.4044476
29.0,29.0,0.005201915
30.0,30.0,0.0015868953
31.0,31.0,0.0023908967
32.0,32.0,2.2520207E-5
33.0,33.0,0.0010728348
34.0,34.0,2.5608155E-4
35.0,35.0,0.004847246
36.0,36.0,3.0506371E-6
37.0,37.0,1.2143934E-4
38.0,38.0,8.063102E-4
39.0,39.0,0.0013066548
40.0,40.0,0.0070600915
41.0,41.0,5.640825E-4
42.0,42.0,0.03250145
43.0,43.0,4.1726977E-4
44.0,44.0,0.0024931745
45.0,45.0,2.2569246E-5
46.0,46.0,4.129556E-7
47.0,47.0,0.0055990918
48.0,48.0,0.003716912
49.0,49.0,3.188995E-5
50.0,50.0,0.16844843
51.0,51.0,0.036649276
52.0,52.0,0.0052892533
53.0,53.0,0.3674726
54.0,54.0,0.09206299
55.0,55.0,0.0046289484
56.0,56.0,2.5849446E-4
57.0,57.0,9.145755E-5
58.0,58.0,0.2569276
59.0,59.0,0.0045248736
60.0,60.0,0.0040651364
61.0,61.0,1.5096902E-4
62.0,62.0,0.0032236725
63.0,63.0,9.6639193E-4
64.0,64.0,0.0022738255
65.0,65.0,0.0011253502
66.0,66.0,1.5337644E-5
67.0,67.0,0.07804257
68.0,68.0,0.013013529
69.0,69.0,0.0033205554
70.0,70.0,0.0066599823
71.0,71.0,0.0074293343
72.0,72.0,9.06221E-5
73.0,73.0,0.0033010484
74.0,74.0,4.8353348E-5
75.0,75.0,5.670124E-6
76.0,76.0,1.00484256E-4
77.0,77.0,0.041819442
78.0,78.0,6.5176917E-4
79.0,79.0,0.003974209
80.0,80.0,0.0016789774
81.0,81.0,4.0353637E-4
82.0,82.0,0.25297162
83.0,83.0,0.0056601525
84.0,84.0,0.0065993215
85.0,85.0,0.47344357
86.0,86.0,0.36886057
87.0,87.0,0.049082328
88.0,88.0,0.0038886433
89.0,89.0,0.035585996
90.0,90.0,0.78433776
91.0,91.0,0.009177785
92.0,92.0,0.0028482256
93.0,93.0,7.979559E-6
94.0,94.0,0.013702987
95.0,95.0,0.34244636
96.0,96.0,0.0014968077
97.0,97.0,0.01814134
98.0,98.0,7.967765E-4
99.0,99.0,4.7179274E-4
100.0,100.0,0.003370527
101.0,101.0,2.2599874E-4
102.0,102.0,3.8649036E-5
