x,y,species stddev
1.0,1.0,0.054519948
2.0,2.0,8.2557613E-4
3.0,3.0,0.085631855
4.0,4.0,0.009571656
5.0,5.0,3.7508292E-4
6.0,6.0,0.06344324
7.0,7.0,3.366839E-5
8.0,8.0,0.002490701
9.0,9.0,0.0014128492
10.0,10.0,0.01756674
11.0,11.0,0.002488366
12.0,12.0,1.3006844E-5
13.0,13.0,0.0015253836
14.0,14.0,0.024229432
15.0,15.0,0.05735785
16.0,16.0,9.879805E-4
17.0,17.0,0.04054438
18.0,18.0,8.517033E-6
19.0,19.0,0.0015131688
20.0,20.0,0.0012502013
21.0,21.0,6.4678845E-4
22.0,22.0,3.9899646E-4
23.0,23.0,0.03401181
24.0,24.0,0.0020173728
25.0,25.0,8.3694285E-6
26.0,26.0,8.084962E-5
27.0,27.0,0.008337243
28.0,28.0,0.03253096
29.0,29.0,8.333743E-4
30.0,30.0,0.009373054
31.0,31.0,0.0011939345
32.0,32.0,4.3172797E-5
33.0,33.0,7.6173723E-4
34.0,34.0,3.853818E-4
35.0,35.0,0.0031364786
36.0,36.0,1.0152033E-5
37.0,37.0,1.3702309E-4
38.0,38.0,5.3363905E-4
39.0,39.0,0.0021815747
40.0,40.0,0.0021283925
41.0,41.0,3.3005181E-4
42.0,42.0,0.0121931955
43.0,43.0,3.3356098E-4
44.0,44.0,0.013885826
45.0,45.0,1.2164131E-5
46.0,46.0,3.444054E-6
47.0,47.0,4.1105313E-4
48.0,48.0,0.0012831073
49.0,49.0,4.237108E-5
50.0,50.0,0.047656745
51.0,51.0,0.022968454
52.0,52.0,9.0627145E-4
53.0,53.0,0.12591165
54.0,54.0,0.01827853
55.0,55.0,3.025974E-4
56.0,56.0,2.3346388E-4
57.0,57.0,2.8086506E-4
58.0,58.0,0.013898726
59.0,59.0,0.0011348258
60.0,60.0,0.004825017
61.0,61.0,4.4334988E-4
62.0,62.0,0.0025342214
63.0,63.0,2.7072904E-4
64.0,64.0,0.00386379
65.0,65.0,0.0019624156
66.0,66.0,2.2385668E-5
67.0,67.0,0.0305948
68.0,68.0,0.0029429777
69.0,69.0,0.0017591346
70.0,70.0,0.010022579
71.0,71.0,0.0021303971
72.0,72.0,6.77619E-5
73.0,73.0,6.6100975E-4
74.0,74.0,5.6441924E-5
75.0,75.0,2.8919827E-5
76.0,76.0,2.2838719E-4
77.0,77.0,0.030578723
78.0,78.0,6.73322E-4
79.0,79.0,0.003576873
80.0,80.0,0.0017434525
81.0,81.0,1.9667482E-4
82.0,82.0,0.08417253
83.0,83.0,0.0013303368
84.0,84.0,0.0027042802
85.0,85.0,0.076731145
86.0,86.0,0.06457004
87.0,87.0,0.012329922
88.0,88.0,0.0016957226
89.0,89.0,0.026379794
90.0,90.0,0.012512519
91.0,91.0,0.0046456214
92.0,92.0,0.0028179954
93.0,93.0,1.5971764E-5
94.0,94.0,0.0071037333
95.0,95.0,0.045713823
96.0,96.0,3.4512315E-4
97.0,97.0,0.006053179
98.0,98.0,0.0027973375
99.0,99.0,1.7400557E-4
100.0,100.0,0.006154151
101.0,101.0,1.6225244E-4
102.0,102.0,5.404611E-5
103.0,103.0,0.060888767
104.0,104.0,0.0010194231
105.0,105.0,5.2648823E-4
106.0,106.0,3.3890622E-4
107.0,107.0,0.042485014
108.0,108.0,0.08028528
109.0,109.0,2.3495442E-5
110.0,110.0,0.024924729
111.0,111.0,0.0024763283
112.0,112.0,0.015254753
113.0,113.0,2.4639435E-6
114.0,114.0,0.018066099
115.0,115.0,0.0038846019
116.0,116.0,0.06238392
117.0,117.0,0.0014915774
118.0,118.0,0.0016215576
119.0,119.0,0.085478246
120.0,120.0,0.006613032
121.0,121.0,9.023268E-4
122.0,122.0,1.4037767E-4
123.0,123.0,2.1654692E-4
124.0,124.0,0.013773841
125.0,125.0,0.021949666
126.0,126.0,0.016738156
127.0,127.0,6.140663E-5
128.0,128.0,6.615181E-5
129.0,129.0,0.005720321
130.0,130.0,0.0047924095
131.0,131.0,1.2276004E-4
132.0,132.0,0.005034045
133.0,133.0,8.36529E-6
134.0,134.0,0.036473084
135.0,135.0,9.014159E-5
136.0,136.0,0.02769407
137.0,137.0,0.030283406
138.0,138.0,0.028942917
139.0,139.0,0.0077489777
140.0,140.0,2.006057E-4
141.0,141.0,0.015945371
142.0,142.0,1.0333775E-5
143.0,143.0,0.03655317
144.0,144.0,0.03804401
145.0,145.0,2.057039E-4
146.0,146.0,0.041411214
147.0,147.0,0.04612184
148.0,148.0,0.01621642
149.0,149.0,0.002111633
150.0,150.0,0.0032602255
151.0,151.0,6.8542727E-6
152.0,152.0,0.011969187
153.0,153.0,5.6479726E-4
154.0,154.0,2.4961805E-4
155.0,155.0,0.04495979
156.0,156.0,1.5328915E-4
157.0,157.0,0.0012152672
158.0,158.0,0.012168221
159.0,159.0,0.0021622542
160.0,160.0,0.0012781926
161.0,161.0,0.0011617582
162.0,162.0,0.0034215972
163.0,163.0,0.047702126
164.0,164.0,0.0032268972
165.0,165.0,0.001210812
166.0,166.0,0.008085764
167.0,167.0,0.026057046
168.0,168.0,2.9147882E-6
169.0,169.0,0.012390168
170.0,170.0,0.017970614
171.0,171.0,6.6105364E-5
172.0,172.0,0.014748705
173.0,173.0,4.196785E-5
174.0,174.0,0.0011073152
175.0,175.0,0.003443576
176.0,176.0,9.880696E-5
177.0,177.0,2.7073742E-4
178.0,178.0,0.0015385075
179.0,179.0,0.03485867
180.0,180.0,0.054608006
181.0,181.0,0.0022183682
182.0,182.0,1.1469123E-4
183.0,183.0,0.042719427
184.0,184.0,0.031014193
