x,y,species_1 cloglog values
1.0,1.0,0.4572719
2.0,2.0,0.09196292
3.0,3.0,0.03793904
4.0,4.0,0.16117117
5.0,5.0,0.098910846
6.0,6.0,0.2550454
7.0,7.0,0.009547539
8.0,8.0,0.16572803
9.0,9.0,0.066096745
10.0,10.0,0.5366454
11.0,11.0,0.03803037
12.0,12.0,1.9377611E-4
13.0,13.0,2.4659812E-4
14.0,14.0,0.19654767
15.0,15.0,0.3375992
16.0,16.0,0.4051621
17.0,17.0,0.0010549498
18.0,18.0,0.023489974
19.0,19.0,0.0011064961
20.0,20.0,0.09120634
21.0,21.0,0.09401403
22.0,22.0,0.8896259
23.0,23.0,4.218068E-4
24.0,24.0,0.00834665
25.0,25.0,1.9577736E-4
26.0,26.0,0.07952805
27.0,27.0,0.0018252323
28.0,28.0,1.7648104E-4
29.0,29.0,5.260924E-4
30.0,30.0,0.0034493974
31.0,31.0,0.23440488
32.0,32.0,0.070427544
33.0,33.0,4.678771E-4
34.0,34.0,5.1145325E-4
35.0,35.0,8.153789E-5
36.0,36.0,0.47475865
37.0,37.0,0.27795398
38.0,38.0,0.5957716
39.0,39.0,0.20631912
40.0,40.0,8.1156155E-5
41.0,41.0,0.9293129
42.0,42.0,0.1659729
43.0,43.0,0.016354727
44.0,44.0,4.2493443E-4
45.0,45.0,0.18855067
46.0,46.0,0.6228693
47.0,47.0,0.14282979
48.0,48.0,0.08627147
49.0,49.0,0.14667961
50.0,50.0,0.0015356254
51.0,51.0,0.034386273
52.0,52.0,0.0010377326
53.0,53.0,2.0318141E-4
54.0,54.0,0.23617367
55.0,55.0,0.008087009
56.0,56.0,5.035733E-4
57.0,57.0,0.28837124
58.0,58.0,4.4739404E-4
59.0,59.0,0.0018455557
60.0,60.0,0.5977541
61.0,61.0,9.925517E-4
62.0,62.0,0.033864193
63.0,63.0,0.052065093
64.0,64.0,2.6464593E-4
65.0,65.0,0.73669595
66.0,66.0,0.0042634187
67.0,67.0,7.100592E-5
68.0,68.0,0.18726431
69.0,69.0,0.28953338
70.0,70.0,0.8638682
