Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.30789E-10,0.000000013,0.000000343,1,0,0
1.47219E-10,0.000000028,0.000000386,0.999895594,0,0
2.51412E-10,0.000000118,0.000000659,0.99947797,0,0
2.62151E-10,0.000000273,0.000000688,0.998851535,0,0
3.48804E-10,0.000001034,0.000000915,0.996241387,0,0
4.63175E-10,0.000002518,0.000001215,0.992378367,0,0
1.19722E-9,0.000010028,0.00000314,0.982355398,0,0
1.90439E-9,0.000025024,0.000004994,0.972228023,0,0
2.83247E-9,0.000050195,0.000007428,0.961160994,0,0
4.60377E-9,0.000100213,0.000012074,0.946544164,0,0
9.83845E-9,0.000250233,0.000025802,0.924096889,0,0
1.8327E-8,0.000500542,0.000048063,0.904990603,0,0
2.85059E-8,0.001000903,0.000074757,0.882334517,0,0
5.79959E-8,0.002503166,0.000152089,0.843495511,0,0
1.14369E-7,0.005010393,0.000299901,0.812486949,0,0
2.38283E-7,0.010002664,0.000624728,0.781269576,0,0
6.36961E-7,0.025001585,0.001669107,0.742639382,0,0
1.17753E-6,0.050006346,0.003083438,0.713614533,0,0
2.10891E-6,0.100019264,0.005515582,0.680517853,0,0
3.98348E-6,0.200384909,0.01039274,0.645228649,0,0
5.95368E-6,0.300152496,0.015492917,0.623825433,0,0
8.85732E-6,0.400763121,0.02296158,0.609313009,0,0
1.10602E-5,0.501085218,0.028589987,0.59876801,0,0
1.26653E-5,0.601201453,0.032670458,0.589997912,0,0
1.45561E-5,0.70023446,0.037455571,0.582376279,0,0
1.52669E-5,0.750866072,0.039248146,0.578826477,0,0
1.6023E-5,0.800983758,0.041151367,0.575485488,0,0
1.70812E-5,0.900293147,0.043808691,0.569221132,0,0
1.83612E-5,1.001572764,0.047013281,0.563269994,0,0
1.95888E-5,1.10010443,0.050076438,0.557840885,0,0
2.0574E-5,1.200461925,0.052527647,0.552620589,0,0
2.16641E-5,1.300033641,0.055232559,0.54771351,0,0
2.28161E-5,1.400587605,0.058082732,0.543015243,0,0
2.3775E-5,1.500770774,0.060448427,0.538525788,0,0
2.63741E-5,1.751650236,0.066831155,0.528085195,0,0
2.88483E-5,2.001602477,0.072866663,0.518688662,0,0
3.19991E-5,2.250599439,0.080496178,0.510127375,0,0
3.42672E-5,2.502553368,0.085949488,0.502192525,0,0
3.649E-5,2.750120799,0.091262486,0.494884109,0,0
3.82079E-5,3.000861597,0.095347604,0.487888912,0,0
4.01888E-5,3.251334273,0.100035066,0.481206933,0,0
4.16706E-5,3.501345041,0.103525815,0.474838171,0,0
4.36412E-5,3.753346039,0.108146939,0.468678221,0.029411765,0
4.54906E-5,4.003879197,0.112462253,0.462831489,0.029411765,0
4.68898E-5,4.253574646,0.115713161,0.457193569,0.029411765,0
4.7944E-5,4.504672399,0.118154533,0.451660054,0.029411765,0
4.98586E-5,4.754681297,0.122571469,0.446335352,0.029411765,0
5.10541E-5,5.002276469,0.125318121,0.441219461,0.029411765,0
5.21225E-5,5.255002886,0.127765578,0.436103571,0.029411765,0
5.38214E-5,5.504089123,0.131643342,0.431196492,0.029411765,0
5.52384E-5,5.755060282,0.134864287,0.426393819,0.029411765,0
5.6601E-5,6.001087056,0.137950368,0.421799958,0.029411765,0
5.80386E-5,6.253091788,0.141194464,0.417206097,0.029411765,0
5.92002E-5,6.50497619,0.143806651,0.412716642,0.029411765,0
6.04412E-5,6.750077334,0.14658881,0.408435999,0.029411765,0
6.14148E-5,7.001162587,0.148765048,0.40405095,0.029411765,0
6.26072E-5,7.254270471,0.151422885,0.399874713,0.029411765,0.125
6.34411E-5,7.50020876,0.153276749,0.395802882,0.029411765,0.125
6.47923E-5,7.750503001,0.156271868,0.39173105,0.029411765,0.125
