x,y,species avg
1.0,1.0,0.41799095
2.0,2.0,0.12201648
3.0,3.0,0.0784448
4.0,4.0,0.17017004
5.0,5.0,0.14678362
6.0,6.0,0.11276984
7.0,7.0,0.010839779
8.0,8.0,0.24745567
9.0,9.0,0.071699366
10.0,10.0,0.4609787
11.0,11.0,0.07030551
12.0,12.0,6.234877E-5
13.0,13.0,7.455947E-5
14.0,14.0,0.28747672
15.0,15.0,0.37694022
16.0,16.0,0.42594954
17.0,17.0,3.3236315E-4
18.0,18.0,0.031572655
19.0,19.0,7.497647E-4
20.0,20.0,0.0815388
21.0,21.0,0.1873386
22.0,22.0,0.89481163
23.0,23.0,2.2649301E-4
24.0,24.0,0.018833915
25.0,25.0,5.7205623E-5
26.0,26.0,0.24599193
27.0,27.0,4.2456386E-4
28.0,28.0,7.113582E-5
29.0,29.0,2.6131107E-4
30.0,30.0,0.001599559
31.0,31.0,0.23970644
32.0,32.0,0.055391185
33.0,33.0,2.6815748E-4
34.0,34.0,1.6579489E-4
35.0,35.0,2.4334227E-5
36.0,36.0,0.4647871
37.0,37.0,0.22249149
38.0,38.0,0.53766227
39.0,39.0,0.2036509
40.0,40.0,2.5242942E-5
41.0,41.0,0.76967293
42.0,42.0,0.23065087
43.0,43.0,0.042727318
44.0,44.0,2.1562971E-4
45.0,45.0,0.22748236
46.0,46.0,0.5233517
47.0,47.0,0.16836572
48.0,48.0,0.077728555
49.0,49.0,0.1928713
50.0,50.0,6.2594144E-4
51.0,51.0,0.042639297
52.0,52.0,7.2068174E-4
53.0,53.0,8.122939E-5
54.0,54.0,0.2340666
55.0,55.0,0.008385185
56.0,56.0,1.6254713E-4
57.0,57.0,0.23742402
58.0,58.0,1.3918173E-4
59.0,59.0,0.002071199
60.0,60.0,0.6221067
61.0,61.0,0.0016767888
62.0,62.0,0.06659254
63.0,63.0,0.07276971
64.0,64.0,1.3057126E-4
65.0,65.0,0.47324494
66.0,66.0,0.008040809
67.0,67.0,2.0925208E-5
68.0,68.0,0.22379784
69.0,69.0,0.3181287
70.0,70.0,0.8589552
71.0,71.0,0.25112817
72.0,72.0,0.27460244
73.0,73.0,1.3930631E-4
74.0,74.0,1.4088178E-4
75.0,75.0,0.006790872
76.0,76.0,5.3484505E-4
77.0,77.0,0.15990326
78.0,78.0,0.47382912
79.0,79.0,9.5600835E-6
80.0,80.0,6.390548E-4
81.0,81.0,0.19840123
82.0,82.0,0.32642588
83.0,83.0,0.002351347
84.0,84.0,0.31439924
85.0,85.0,0.08991334
86.0,86.0,0.30239657
87.0,87.0,0.6008977
88.0,88.0,2.1474769E-4
89.0,89.0,2.6259362E-4
90.0,90.0,0.005080239
91.0,91.0,8.833422E-5
92.0,92.0,0.38288537
93.0,93.0,0.22573242
94.0,94.0,0.3353472
95.0,95.0,9.021128E-6
96.0,96.0,0.0037406594
97.0,97.0,0.19187604
98.0,98.0,1.6995635E-5
99.0,99.0,0.34060243
100.0,100.0,0.5028622
101.0,101.0,4.385576E-4
102.0,102.0,0.7185169
103.0,103.0,1.1906664E-5
104.0,104.0,0.3995344
105.0,105.0,0.26430273
106.0,106.0,0.120699845
107.0,107.0,0.046575036
108.0,108.0,6.9383107E-4
109.0,109.0,7.505084E-4
110.0,110.0,0.023247775
111.0,111.0,2.0058049E-5
112.0,112.0,0.12241073
113.0,113.0,0.33078778
114.0,114.0,0.14633784
115.0,115.0,3.8158483E-4
116.0,116.0,0.3575689
117.0,117.0,0.23356831
118.0,118.0,3.0386826E-4
119.0,119.0,0.18537469
120.0,120.0,3.1344697E-4
121.0,121.0,0.20561726
122.0,122.0,0.43972757
123.0,123.0,7.5039157E-4
124.0,124.0,0.39381742
125.0,125.0,0.08674392
126.0,126.0,8.579403E-5
127.0,127.0,0.25475374
128.0,128.0,1.3523979E-5
129.0,129.0,0.2554303
130.0,130.0,0.515656
131.0,131.0,0.1329526
132.0,132.0,4.701974E-4
133.0,133.0,3.3123343E-4
134.0,134.0,0.23813239
135.0,135.0,0.1595003
136.0,136.0,0.025037238
137.0,137.0,0.112680696
138.0,138.0,1.4126408E-4
139.0,139.0,1.7794568E-4
140.0,140.0,0.1179434
141.0,141.0,0.2812903
142.0,142.0,0.26070482
143.0,143.0,0.30805987
144.0,144.0,0.23433393
145.0,145.0,0.16373111
146.0,146.0,4.5092162E-4
147.0,147.0,0.25789604
148.0,148.0,0.18955001
149.0,149.0,5.41187E-4
150.0,150.0,0.32730198
151.0,151.0,0.035029456
152.0,152.0,0.0013232629
153.0,153.0,0.061177548
154.0,154.0,0.7512648
155.0,155.0,2.5032574E-4
156.0,156.0,0.0047212783
157.0,157.0,0.034619506
158.0,158.0,0.33259004
159.0,159.0,8.3368627E-4
160.0,160.0,0.24709634
161.0,161.0,0.008099259
162.0,162.0,0.40255567
163.0,163.0,0.5441679
164.0,164.0,0.2324067
165.0,165.0,0.632777
166.0,166.0,0.07661801
167.0,167.0,1.337545E-4
168.0,168.0,0.4774183
169.0,169.0,0.3181979
170.0,170.0,0.401345
171.0,171.0,6.774606E-5
172.0,172.0,0.10236857
173.0,173.0,0.26518938
174.0,174.0,3.2885914E-4
175.0,175.0,0.25308692
176.0,176.0,7.309605E-4
177.0,177.0,0.008237811
178.0,178.0,0.153123
179.0,179.0,0.5026641
180.0,180.0,0.35247827
181.0,181.0,0.40355632
182.0,182.0,0.24779245
183.0,183.0,0.3225308
184.0,184.0,0.30892694
185.0,185.0,0.3278926
186.0,186.0,9.848722E-4
187.0,187.0,0.5304711
188.0,188.0,0.35181397
189.0,189.0,0.008262013
190.0,190.0,0.50228983
191.0,191.0,0.2200716
192.0,192.0,0.0014757696
193.0,193.0,0.0012948933
194.0,194.0,0.10047312
195.0,195.0,0.030952903
196.0,196.0,0.46723947
197.0,197.0,1.7284692E-5
198.0,198.0,2.6956687E-4
199.0,199.0,5.766694E-4
200.0,200.0,0.52959067
201.0,201.0,0.2968436
202.0,202.0,1.1110853E-4
