x,y,species max
1.0,1.0,0.4875226
2.0,2.0,0.26105854
3.0,3.0,0.11590273
4.0,4.0,0.2648479
5.0,5.0,0.22057246
6.0,6.0,0.2550454
7.0,7.0,0.023080733
8.0,8.0,0.33352542
9.0,9.0,0.13498916
10.0,10.0,0.56144375
11.0,11.0,0.112316765
12.0,12.0,1.9377611E-4
13.0,13.0,2.4659812E-4
14.0,14.0,0.500271
15.0,15.0,0.5029303
16.0,16.0,0.53426874
17.0,17.0,0.0010549498
18.0,18.0,0.045187116
19.0,19.0,0.001616313
20.0,20.0,0.11165881
21.0,21.0,0.37618852
22.0,22.0,0.9342235
23.0,23.0,4.7164268E-4
24.0,24.0,0.03227434
25.0,25.0,1.9577736E-4
26.0,26.0,0.37503347
27.0,27.0,0.0018252323
28.0,28.0,1.7648104E-4
29.0,29.0,5.260924E-4
30.0,30.0,0.0034493974
31.0,31.0,0.27017462
32.0,32.0,0.071840115
33.0,33.0,5.46199E-4
34.0,34.0,5.1145325E-4
35.0,35.0,8.153789E-5
36.0,36.0,0.60463405
37.0,37.0,0.30705437
38.0,38.0,0.6618435
39.0,39.0,0.26396397
40.0,40.0,8.1156155E-5
41.0,41.0,0.9293129
42.0,42.0,0.34936336
43.0,43.0,0.07105071
44.0,44.0,4.4575543E-4
45.0,45.0,0.2756259
46.0,46.0,0.6228693
47.0,47.0,0.20153725
48.0,48.0,0.1318309
49.0,49.0,0.27511084
50.0,50.0,0.0015356254
51.0,51.0,0.074530005
52.0,52.0,0.0015553175
53.0,53.0,2.0318141E-4
54.0,54.0,0.27394223
55.0,55.0,0.020050963
56.0,56.0,5.035733E-4
57.0,57.0,0.30489865
58.0,58.0,4.4739404E-4
59.0,59.0,0.0028214771
60.0,60.0,0.7378544
61.0,61.0,0.00355701
62.0,62.0,0.11007761
63.0,63.0,0.104240775
64.0,64.0,2.7882334E-4
65.0,65.0,0.73669595
66.0,66.0,0.014276493
67.0,67.0,7.100592E-5
68.0,68.0,0.24970682
69.0,69.0,0.43698704
70.0,70.0,0.9675075
71.0,71.0,0.35084146
72.0,72.0,0.34337556
73.0,73.0,3.2760395E-4
74.0,74.0,3.3523122E-4
75.0,75.0,0.009896492
76.0,76.0,0.0010958606
77.0,77.0,0.24502072
78.0,78.0,0.62917936
79.0,79.0,3.4766214E-5
80.0,80.0,0.0016708267
81.0,81.0,0.24084924
82.0,82.0,0.37792876
83.0,83.0,0.003156027
84.0,84.0,0.4079703
85.0,85.0,0.11099099
86.0,86.0,0.33791143
87.0,87.0,0.72747177
88.0,88.0,5.596579E-4
89.0,89.0,5.8666524E-4
90.0,90.0,0.009710118
91.0,91.0,2.0050873E-4
92.0,92.0,0.5018616
93.0,93.0,0.3144584
94.0,94.0,0.49487484
95.0,95.0,3.102433E-5
96.0,96.0,0.0065539167
97.0,97.0,0.27015972
98.0,98.0,6.425299E-5
99.0,99.0,0.44275415
100.0,100.0,0.6741399
101.0,101.0,0.0012436234
102.0,102.0,0.90126586
103.0,103.0,4.763469E-5
104.0,104.0,0.46347478
105.0,105.0,0.3673114
106.0,106.0,0.1486776
107.0,107.0,0.08166254
108.0,108.0,0.0018233221
109.0,109.0,0.0014801603
110.0,110.0,0.03603412
111.0,111.0,7.000946E-5
112.0,112.0,0.18498518
113.0,113.0,0.41099668
114.0,114.0,0.19300559
115.0,115.0,8.119596E-4
116.0,116.0,0.39456782
117.0,117.0,0.31656605
118.0,118.0,6.2533235E-4
119.0,119.0,0.2628855
120.0,120.0,0.0010108084
121.0,121.0,0.2762816
122.0,122.0,0.5477133
123.0,123.0,0.0016447203
124.0,124.0,0.44450605
125.0,125.0,0.11230301
126.0,126.0,2.7055296E-4
127.0,127.0,0.3248598
