x,y,species min
1.0,1.0,0.25935578
2.0,2.0,0.06325065
3.0,3.0,0.03793904
4.0,4.0,0.07889864
5.0,5.0,0.098910846
6.0,6.0,0.03596105
7.0,7.0,0.0044147735
8.0,8.0,0.16572803
9.0,9.0,0.02123392
10.0,10.0,0.35085335
11.0,11.0,0.03803037
12.0,12.0,2.5037543E-6
13.0,13.0,2.1041571E-6
14.0,14.0,0.17931499
15.0,15.0,0.3241321
16.0,16.0,0.3320187
17.0,17.0,1.8531686E-5
18.0,18.0,0.015942032
19.0,19.0,1.8953515E-4
20.0,20.0,0.039039407
21.0,21.0,0.088322744
22.0,22.0,0.8298688
23.0,23.0,3.7586087E-5
24.0,24.0,0.00834665
25.0,25.0,8.105873E-7
26.0,26.0,0.07952805
27.0,27.0,1.6915552E-5
28.0,28.0,3.5942023E-6
29.0,29.0,3.296295E-5
30.0,30.0,1.7439383E-4
31.0,31.0,0.19576135
32.0,32.0,0.02327759
33.0,33.0,4.8560192E-5
34.0,34.0,8.224514E-6
35.0,35.0,5.2071846E-7
36.0,36.0,0.38873777
37.0,37.0,0.13552545
38.0,38.0,0.20900235
39.0,39.0,0.14531566
40.0,40.0,6.340113E-7
41.0,41.0,0.38645777
42.0,42.0,0.1659729
43.0,43.0,0.016354727
44.0,44.0,2.359337E-5
45.0,45.0,0.16474779
46.0,46.0,0.4095403
47.0,47.0,0.14131737
48.0,48.0,0.048025236
49.0,49.0,0.12991782
50.0,50.0,6.335415E-5
51.0,51.0,0.021051297
52.0,52.0,1.7114475E-4
53.0,53.0,5.036982E-6
54.0,54.0,0.1655362
55.0,55.0,0.0030150644
56.0,56.0,8.051146E-6
57.0,57.0,0.10624664
58.0,58.0,5.932433E-6
59.0,59.0,0.0016237502
60.0,60.0,0.53024554
61.0,61.0,9.925517E-4
62.0,62.0,0.033864193
63.0,63.0,0.052065093
64.0,64.0,1.1306017E-5
65.0,65.0,0.34179825
66.0,66.0,0.0042634187
67.0,67.0,3.8612038E-7
68.0,68.0,0.18431632
69.0,69.0,0.2457453
70.0,70.0,0.63311625
71.0,71.0,0.21601167
72.0,72.0,0.18392892
73.0,73.0,1.2602544E-5
74.0,74.0,1.0617521E-5
75.0,75.0,0.0046752105
76.0,76.0,1.670083E-4
77.0,77.0,0.11300253
78.0,78.0,0.22227168
79.0,79.0,4.454496E-8
80.0,80.0,7.116288E-5
81.0,81.0,0.15876344
82.0,82.0,0.19743082
83.0,83.0,0.0019136148
84.0,84.0,0.21016492
85.0,85.0,0.07117912
86.0,86.0,0.2383945
87.0,87.0,0.46415454
88.0,88.0,1.0180991E-5
89.0,89.0,3.334203E-5
90.0,90.0,0.0012264194
91.0,91.0,5.2707046E-6
92.0,92.0,0.11977671
93.0,93.0,0.17065682
94.0,94.0,0.27562383
95.0,95.0,3.934486E-8
96.0,96.0,0.0023399512
97.0,97.0,0.14199239
98.0,98.0,1.8359731E-7
99.0,99.0,0.21991943
100.0,100.0,0.30075067
101.0,101.0,3.744346E-5
102.0,102.0,0.397833
103.0,103.0,7.4035725E-8
104.0,104.0,0.34127608
105.0,105.0,0.16007021
106.0,106.0,0.08254946
107.0,107.0,0.018143987
108.0,108.0,8.395862E-5
109.0,109.0,1.88616E-4
110.0,110.0,0.009063041
111.0,111.0,3.4270522E-7
112.0,112.0,0.09380798
113.0,113.0,0.26818505
114.0,114.0,0.09098739
115.0,115.0,9.050186E-5
116.0,116.0,0.3214998
117.0,117.0,0.1234042
118.0,118.0,5.5125507E-5
119.0,119.0,0.097910486
120.0,120.0,1.7126125E-5
121.0,121.0,0.085433535
122.0,122.0,0.3273116
123.0,123.0,3.0030776E-4
124.0,124.0,0.33569756
125.0,125.0,0.05454207
126.0,126.0,4.908272E-6
127.0,127.0,0.11254792
128.0,128.0,1.1932478E-7
129.0,129.0,0.18169963
130.0,130.0,0.43580776
131.0,131.0,0.086393744
132.0,132.0,1.3027935E-4
133.0,133.0,1.5438367E-5
134.0,134.0,0.10891383
135.0,135.0,0.122783035
136.0,136.0,0.007319971
137.0,137.0,0.0845904
138.0,138.0,1.109821E-5
139.0,139.0,1.4908219E-5
140.0,140.0,0.06530759
141.0,141.0,0.097882606
142.0,142.0,0.22186024
143.0,143.0,0.15433842
144.0,144.0,0.1883997
145.0,145.0,0.10601476
146.0,146.0,1.2605982E-4
147.0,147.0,0.19649668
148.0,148.0,0.11251208
149.0,149.0,8.81418E-5
150.0,150.0,0.22253425
151.0,151.0,0.022658383
152.0,152.0,2.4366485E-4
153.0,153.0,0.028123971
154.0,154.0,0.6988712
155.0,155.0,4.8195754E-5
156.0,156.0,0.0034304431
157.0,157.0,0.013657441
158.0,158.0,0.23138086
159.0,159.0,1.345934E-4
160.0,160.0,0.13950637
161.0,161.0,0.0025872919
162.0,162.0,0.32391018
163.0,163.0,0.46642783
164.0,164.0,0.16441403
165.0,165.0,0.5263867
166.0,166.0,0.020786423
167.0,167.0,4.674872E-6
168.0,168.0,0.379146
169.0,169.0,0.17702842
170.0,170.0,0.20937103
171.0,171.0,2.0399696E-6
172.0,172.0,0.07686293
173.0,173.0,0.11272893
174.0,174.0,6.707094E-5
175.0,175.0,0.15094332
