x,y,species stddev
1.0,1.0,0.08303695
2.0,2.0,0.07091454
3.0,3.0,0.026857879
4.0,4.0,0.070404634
5.0,5.0,0.041574612
6.0,6.0,0.07693379
7.0,7.0,0.0063987933
8.0,8.0,0.06644868
9.0,9.0,0.036453888
10.0,10.0,0.08983606
11.0,11.0,0.03320715
12.0,12.0,7.2751616E-5
13.0,13.0,9.256337E-5
14.0,14.0,0.1143717
15.0,15.0,0.066322066
16.0,16.0,0.07259405
17.0,17.0,3.872966E-4
18.0,18.0,0.010502184
19.0,19.0,5.4207677E-4
20.0,20.0,0.024796298
21.0,21.0,0.107194774
22.0,22.0,0.038406745
23.0,23.0,1.8485164E-4
24.0,24.0,0.007914724
25.0,25.0,7.52669E-5
26.0,26.0,0.11079024
27.0,27.0,7.029499E-4
28.0,28.0,7.231795E-5
29.0,29.0,2.1496718E-4
30.0,30.0,0.0011966157
31.0,31.0,0.024841722
32.0,32.0,0.017594138
33.0,33.0,2.0531271E-4
34.0,34.0,1.8915308E-4
35.0,35.0,3.098699E-5
36.0,36.0,0.07517486
37.0,37.0,0.06215872
38.0,38.0,0.16667621
39.0,39.0,0.03935056
40.0,40.0,3.087927E-5
41.0,41.0,0.19629425
42.0,42.0,0.06416514
43.0,43.0,0.020447753
44.0,44.0,1.8301519E-4
45.0,45.0,0.042913564
46.0,46.0,0.067796655
47.0,47.0,0.026492562
48.0,48.0,0.029943174
49.0,49.0,0.051431082
50.0,50.0,5.7868677E-4
51.0,51.0,0.017627236
52.0,52.0,5.186292E-4
53.0,53.0,8.127213E-5
54.0,54.0,0.036948763
55.0,55.0,0.006055737
56.0,56.0,1.8629823E-4
57.0,57.0,0.071658455
58.0,58.0,1.659213E-4
59.0,59.0,4.6073348E-4
60.0,60.0,0.069600746
61.0,61.0,9.501362E-4
62.0,62.0,0.02689137
63.0,63.0,0.017998692
64.0,64.0,1.1766176E-4
65.0,65.0,0.1458662
66.0,66.0,0.0036624498
67.0,67.0,2.6980937E-5
68.0,68.0,0.031048834
69.0,69.0,0.071985506
70.0,70.0,0.12130674
71.0,71.0,0.051544722
72.0,72.0,0.05380941
73.0,73.0,1.3063355E-4
74.0,74.0,1.3722546E-4
75.0,75.0,0.0019443115
76.0,76.0,3.7315852E-4
77.0,77.0,0.04647017
78.0,78.0,0.14900711
79.0,79.0,1.3387598E-5
80.0,80.0,6.0917414E-4
81.0,81.0,0.034529984
82.0,82.0,0.06561689
83.0,83.0,4.6610067E-4
84.0,84.0,0.07731882
