variable,x,y
wc2.0_bio_2.5m_1,-29.42449913024897,9.49068578393053E-7
wc2.0_bio_2.5m_1,-29.297011132812447,9.49068578393053E-7
wc2.0_bio_2.5m_1,-29.169523135375925,9.49068578393053E-7
wc2.0_bio_2.5m_1,-29.0420351379394,9.49068578393053E-7
wc2.0_bio_2.5m_1,-28.91454714050288,9.49068578393053E-7
wc2.0_bio_2.5m_1,-28.787059143066354,9.49068578393053E-7
wc2.0_bio_2.5m_1,-28.659571145629833,9.49068578393053E-7
wc2.0_bio_2.5m_1,-28.53208314819331,9.49068578393053E-7
wc2.0_bio_2.5m_1,-28.404595150756784,9.49068578393053E-7
wc2.0_bio_2.5m_1,-28.277107153320262,9.49068578393053E-7
wc2.0_bio_2.5m_1,-28.149619155883737,9.49068578393053E-7
wc2.0_bio_2.5m_1,-28.022131158447216,9.49068578393053E-7
wc2.0_bio_2.5m_1,-27.89464316101069,9.49068578393053E-7
wc2.0_bio_2.5m_1,-27.76715516357417,9.49068578393053E-7
wc2.0_bio_2.5m_1,-27.639667166137645,9.49068578393053E-7
wc2.0_bio_2.5m_1,-27.512179168701124,9.49068578393053E-7
wc2.0_bio_2.5m_1,-27.3846911712646,9.49068578393053E-7
wc2.0_bio_2.5m_1,-27.257203173828074,9.49068578393053E-7
wc2.0_bio_2.5m_1,-27.129715176391553,9.49068578393053E-7
wc2.0_bio_2.5m_1,-27.002227178955028,9.49068578393053E-7
wc2.0_bio_2.5m_1,-26.874739181518507,9.49068578393053E-7
wc2.0_bio_2.5m_1,-26.747251184081982,9.49068578393053E-7
wc2.0_bio_2.5m_1,-26.61976318664546,9.49068578393053E-7
wc2.0_bio_2.5m_1,-26.492275189208936,9.49068578393053E-7
wc2.0_bio_2.5m_1,-26.364787191772415,9.49068578393053E-7
wc2.0_bio_2.5m_1,-26.23729919433589,9.49068578393053E-7
wc2.0_bio_2.5m_1,-26.109811196899365,9.49068578393053E-7
wc2.0_bio_2.5m_1,-25.982323199462844,9.49068578393053E-7
wc2.0_bio_2.5m_1,-25.85483520202632,9.49068578393053E-7
wc2.0_bio_2.5m_1,-25.727347204589798,9.49068578393053E-7
wc2.0_bio_2.5m_1,-25.599859207153273,9.49068578393053E-7
wc2.0_bio_2.5m_1,-25.47237120971675,9.49068578393053E-7
wc2.0_bio_2.5m_1,-25.344883212280227,9.49068578393053E-7
wc2.0_bio_2.5m_1,-25.217395214843705,9.49068578393053E-7
wc2.0_bio_2.5m_1,-25.08990721740718,9.49068578393053E-7
wc2.0_bio_2.5m_1,-24.962419219970656,9.49068578393053E-7
wc2.0_bio_2.5m_1,-24.834931222534134,9.49068578393053E-7
wc2.0_bio_2.5m_1,-24.70744322509761,9.49068578393053E-7
wc2.0_bio_2.5m_1,-24.579955227661088,9.49068578393053E-7
wc2.0_bio_2.5m_1,-24.452467230224563,9.49068578393053E-7
wc2.0_bio_2.5m_1,-24.32497923278804,9.49068578393053E-7
wc2.0_bio_2.5m_1,-24.197491235351517,9.49068578393053E-7
wc2.0_bio_2.5m_1,-24.070003237914996,9.815081511987955E-7
wc2.0_bio_2.5m_1,-23.94251524047847,1.0853799494725536E-6
wc2.0_bio_2.5m_1,-23.815027243041946,1.1998207583019393E-6
wc2.0_bio_2.5m_1,-23.687539245605425,1.3258620583656011E-6
wc2.0_bio_2.5m_1,-23.5600512481689,1.4646315094068996E-6
wc2.0_bio_2.5m_1,-23.43256325073238,1.6173540871022851E-6
wc2.0_bio_2.5m_1,-23.305075253295854,1.7853767531050835E-6
wc2.0_bio_2.5m_1,-23.17758725585933,1.9701594737853156E-6
wc2.0_bio_2.5m_1,-23.050099258422808,2.173306256736396E-6
wc2.0_bio_2.5m_1,-22.922611260986287,2.396554009465035E-6
wc2.0_bio_2.5m_1,-22.795123263549762,2.6418056222610176E-6
wc2.0_bio_2.5m_1,-22.667635266113237,2.911136334660114E-6
wc2.0_bio_2.5m_1,-22.540147268676716,3.206793280696729E-6
wc2.0_bio_2.5m_1,-22.41265927124019,3.5312411910126684E-6
wc2.0_bio_2.5m_1,-22.28517127380367,3.8871435208420735E-6
