Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.2297E-10,0.000000052,0.000002082,1,0,0
1.14816E-9,0.000000167,0.000004571,0.999897109,0,0
1.47062E-9,0.000000314,0.000005855,0.999794218,0,0
1.83452E-9,0.00000115,0.000007304,0.999279761,0,0
2.92961E-9,0.000002535,0.000011663,0.998662414,0,0
4.90984E-9,0.00001003,0.000019547,0.99670748,0,0
9.18577E-9,0.000025497,0.00003657,0.994340982,0,0
1.28497E-8,0.00005107,0.000051157,0.991974483,0,0
1.9139E-8,0.000100489,0.000076195,0.988784854,0,0
3.79318E-8,0.000252433,0.000151005,0.98343451,0,0
6.05131E-8,0.000505467,0.00024089,0.978289948,0,0
8.8578E-8,0.001004468,0.00035259,0.971499125,0,0
1.78969E-7,0.002500311,0.000712268,0.95946085,0,0
2.94067E-7,0.005000207,0.001170073,0.948348596,0,0
5.30578E-7,0.010037517,0.002110142,0.935898755,0,0
1.12928E-6,0.025085811,0.004485859,0.917069657,0,0
1.7547E-6,0.050028464,0.006961592,0.899166581,0,0
2.79292E-6,0.100247859,0.011057764,0.876324725,0,0
4.6881E-6,0.200147233,0.018491458,0.848544089,0,0.035714286
6.04613E-6,0.300300932,0.023783844,0.829406318,0,0.035714286
7.43728E-6,0.400576954,0.029175691,0.814075522,0,0.035714286
8.26696E-6,0.500783033,0.032377194,0.801008334,0,0.035714286
9.01212E-6,0.600775336,0.03524358,0.78907295,0,0.035714286
9.77039E-6,0.700464989,0.038151651,0.778166478,0,0.035714286
1.01258E-5,0.750276839,0.039511768,0.773021916,0,0.035714286
1.04748E-5,0.80074191,0.040845229,0.767980245,0,0.035714286
1.1081E-5,0.900108965,0.043157505,0.75851425,0,0.035714286
1.16816E-5,1.000624067,0.045442456,0.749459821,0,0.035714286
1.23736E-5,1.100352756,0.048068891,0.740919848,0,0.035714286
1.29784E-5,1.200569036,0.050358069,0.732791439,0,0.035714286
1.35337E-5,1.300166802,0.052455267,0.725074596,0,0.035714286
1.40564E-5,1.400908587,0.054425024,0.717563535,0,0.035714286
1.45981E-5,1.501300615,0.056462184,0.710361148,0,0.035714286
1.58443E-5,1.750607818,0.061132141,0.693486984,0,0.035714286
1.69407E-5,2.000155934,0.065221395,0.677847515,0,0.035714286
1.81126E-5,2.250261603,0.069572558,0.663134067,0,0.035714286
1.91709E-5,2.50154518,0.073484368,0.649243749,0,0.035714286
2.00762E-5,2.75118209,0.076817906,0.636176561,0,0.035714286
2.09683E-5,3.001638842,0.080090883,0.62362383,0.00877193,0.035714286
2.20197E-5,3.250672033,0.083933455,0.611688445,0.00877193,0.035714286
2.30676E-5,3.501063464,0.087747273,0.600267517,0.00877193,0.035714286
2.4236E-5,3.751620245,0.091980801,0.589361045,0.00877193,0.035714286
2.49809E-5,4.000343378,0.0946697,0.57896903,0.00877193,0.035714286
2.58197E-5,4.251689621,0.097688029,0.568782797,0.00877193,0.035714286
2.67622E-5,4.501383245,0.101067561,0.559008128,0.01754386,0.035714286
2.74813E-5,4.751010422,0.103637317,0.549542134,0.01754386,0.035714286
2.84047E-5,5.002601443,0.106926617,0.540281922,0.01754386,0.035714286
2.93013E-5,5.250741446,0.110108994,0.531433275,0.01754386,0.035714286
3.0054E-5,5.502947763,0.112771613,0.522687519,0.01754386,0.035714286
3.07949E-5,5.752118803,0.11538487,0.514250437,0.026315789,0.035714286
3.16795E-5,6.002407514,0.118494952,0.506019138,0.026315789,0.035714286
3.23785E-5,6.252485664,0.120944725,0.497993621,0.035087719,0.035714286
3.32658E-5,6.501885179,0.124044429,0.490173886,0.035087719,0.035714286
3.40083E-5,6.750886807,0.126629888,0.482559934,0.043859649,0.035714286
3.48811E-5,7.002413926,0.129659574,0.475048873,0.043859649,0.035714286
3.5758E-5,7.253383839,0.132692808,0.467743595,0.043859649,0.035714286
3.66401E-5,7.503116706,0.13573342,0.460644099,0.052631579,0.035714286
3.75333E-5,7.752000132,0.138801293,0.453750386,0.052631579,0.035714286
3.85998E-5,8.002754576,0.142450213,0.446959564,0.052631579,0.035714286
3.94707E-5,8.252683701,0.145418282,0.440374524,0.052631579,0.035714286
4.03555E-5,8.503941628,0.14842345,0.433892376,0.052631579,0.035714286
4.13304E-5,8.753617414,0.151722214,0.42761601,0.052631579,0.035714286
4.2324E-5,9.000383171,0.155071352,0.421545426,0.052631579,0.035714286
4.32868E-5,9.253010594,0.158303759,0.415474843,0.052631579,0.035714286
4.46692E-5,9.503989874,0.162923572,0.409610042,0.052631579,0.035714286
4.58202E-5,9.752760154,0.16675046,0.403951024,0.052631579,0.035714286
4.70893E-5,10.003340475,0.170950197,0.398394897,0.052631579,0.035714286
4.83088E-5,10.251437514,0.174965594,0.393044552,0.052631579,0.035714286
4.97163E-5,10.500936923,0.179575605,0.387797098,0.052631579,0.035714286
5.06755E-5,10.752069085,0.182702821,0.382652536,0.061403509,0.035714286
5.19697E-5,11.003892184,0.186903267,0.377610865,0.061403509,0.035714286
5.28483E-5,11.250174271,0.18974252,0.372774977,0.061403509,0.035714286
5.40917E-5,11.501526443,0.193743634,0.367939088,0.061403509,0.035714286
5.52596E-5,11.753213582,0.19748355,0.363206091,0.070175439,0.035714286
5.66108E-5,12.005113499,0.201789314,0.358575985,0.070175439,0.035714286
5.81037E-5,12.251610254,0.206519274,0.354151662,0.070175439,0.107142857
5.96191E-5,12.504930033,0.211292263,0.349727338,0.070175439,0.107142857
6.0787E-5,12.751753803,0.214950824,0.345508797,0.078947368,0.107142857
6.18143E-5,13.002991032,0.218155243,0.341290256,0.078947368,0.107142857
6.29874E-5,13.253021076,0.221798154,0.337174606,0.078947368,0.107142857
6.42012E-5,13.500998841,0.22554965,0.333161848,0.087719298,0.107142857
6.55669E-5,13.75367623,0.229749198,0.329149089,0.096491228,0.107142857
6.71541E-5,14.005697028,0.234601067,0.325239222,0.096491228,0.107142857
6.81725E-5,14.256085947,0.23769832,0.321432246,0.105263158,0.107142857
6.95866E-5,14.504889442,0.241977773,0.317728161,0.105263158,0.107142857
7.08805E-5,14.750928439,0.245872687,0.314126968,0.105263158,0.107142857
7.22908E-5,15.001360154,0.250094909,0.310525774,0.105263158,0.142857143
7.41739E-5,15.250346744,0.255696058,0.307027472,0.114035088,0.142857143
7.5629E-5,15.505377621,0.259995398,0.30352917,0.114035088,0.142857143
7.70784E-5,15.757250453,0.264253446,0.300133759,0.114035088,0.178571429
7.89556E-5,16.006930997,0.269731477,0.296841239,0.114035088,0.178571429
8.05659E-5,16.254092713,0.274398283,0.29365161,0.114035088,0.178571429
8.22058E-5,16.506737085,0.279120313,0.290461982,0.114035088,0.178571429
8.36365E-5,16.755657774,0.283214731,0.287375244,0.114035088,0.178571429
8.47952E-5,17.0084443,0.286513814,0.284288507,0.114035088,0.178571429
8.68194E-5,17.25751377,0.292240578,0.281304661,0.114035088,0.178571429
8.87475E-5,17.503471036,0.297652678,0.278423706,0.114035088,0.178571429
9.03248E-5,17.754919467,0.302049391,0.275542751,0.114035088,0.178571429
9.20318E-5,18.001211778,0.306776539,0.272764688,0.114035088,0.178571429
9.34907E-5,18.251340814,0.310791293,0.269986624,0.114035088,0.178571429
9.55405E-5,18.506838159,0.31639293,0.267208561,0.114035088,0.178571429
9.68939E-5,18.757302343,0.320066436,0.264533388,0.122807018,0.214285714
9.83676E-5,19.00176355,0.324043938,0.261961107,0.122807018,0.214285714
1.00277E-4,19.25038938,0.329162482,0.259388826,0.122807018,0.214285714
1.02091E-4,19.503705232,0.33399064,0.256816545,0.122807018,0.214285714
1.04013E-4,19.750738036,0.339068397,0.254347155,0.131578947,0.214285714
1.0644E-4,20.003436773,0.345422342,0.251877765,0.131578947,0.214285714
1.07949E-4,20.260788813,0.349344001,0.249408375,0.131578947,0.214285714
1.09774E-4,20.500065843,0.35405373,0.247144768,0.131578947,0.214285714
1.11615E-4,20.754442157,0.358770048,0.244778269,0.131578947,0.214285714
1.12913E-4,21.001275368,0.362077452,0.242514662,0.131578947,0.214285714
1.14789E-4,21.252112608,0.366822852,0.240251055,0.131578947,0.214285714
1.16818E-4,21.507136765,0.371918443,0.237987447,0.140350877,0.214285714
1.18536E-4,21.754328415,0.376198318,0.235826731,0.149122807,0.214285714
1.20332E-4,22.005012291,0.380642322,0.233666015,0.157894737,0.214285714
1.22422E-4,22.259831145,0.385775924,0.231505299,0.166666667,0.214285714
1.24133E-4,22.506577304,0.389945775,0.229447474,0.166666667,0.214285714
1.26118E-4,22.756570105,0.394747338,0.227389649,0.166666667,0.214285714
1.28306E-4,23.0108468,0.399996494,0.225331824,0.175438596,0.214285714
1.30915E-4,23.25688307,0.40619663,0.223376891,0.175438596,0.214285714
1.34191E-4,23.5082408,0.413890979,0.221421957,0.184210526,0.214285714
1.3532E-4,23.750848075,0.416519161,0.219569915,0.184210526,0.25
1.38311E-4,24.010571983,0.42342618,0.217614981,0.184210526,0.25
1.40098E-4,24.261525938,0.427514381,0.215762939,0.184210526,0.25
1.41571E-4,24.50092344,0.430861638,0.214013787,0.192982456,0.25
1.43527E-4,24.757676576,0.43527591,0.212161745,0.192982456,0.25
1.44923E-4,25.002707883,0.438407045,0.210412594,0.201754386,0.25
1.47087E-4,25.250837631,0.443223489,0.208663443,0.201754386,0.25
1.49414E-4,25.502757259,0.448357298,0.206914292,0.210526316,0.25
1.51858E-4,25.758949261,0.453700138,0.20516514,0.210526316,0.25
1.53855E-4,26.003636494,0.458025455,0.203518881,0.210526316,0.25
1.5591E-4,26.251701199,0.462441666,0.201872621,0.210526316,0.25
1.58856E-4,26.503819086,0.468709727,0.200226361,0.210526316,0.25
1.60897E-4,26.759967669,0.47300904,0.198580101,0.210526316,0.25
1.62381E-4,27.002276564,0.476114161,0.197036732,0.210526316,0.25
1.63741E-4,27.263170467,0.478943471,0.195390472,0.210526316,0.25
1.65236E-4,27.510150646,0.482036272,0.193847104,0.210526316,0.25
1.67645E-4,27.759970924,0.486979792,0.192303735,0.210526316,0.285714286
1.69411E-4,28.012901049,0.490573009,0.190760366,0.210526316,0.285714286
1.70289E-4,28.250698004,0.492351302,0.189319889,0.219298246,0.285714286
1.72093E-4,28.508134308,0.495983986,0.18777652,0.219298246,0.285714286
1.73583E-4,28.767293204,0.4989651,0.186233152,0.219298246,0.285714286
1.76251E-4,29.012282724,0.504258378,0.184792674,0.219298246,0.321428571
1.79991E-4,29.262377345,0.511585403,0.183352197,0.219298246,0.357142857
1.81989E-4,29.515730208,0.515455764,0.181911719,0.219298246,0.357142857
1.83975E-4,29.753493813,0.519270741,0.180574133,0.219298246,0.357142857
1.85881E-4,30.012342896,0.522905574,0.179133656,0.228070175,0.357142857
1.87213E-4,30.255026962,0.525428491,0.17779607,0.236842105,0.357142857
1.89721E-4,30.518683577,0.530144989,0.176355592,0.236842105,0.357142857
1.91397E-4,30.766507068,0.533269753,0.175018006,0.236842105,0.357142857
1.92815E-4,31.016180059,0.53589715,0.17368042,0.236842105,0.357142857
1.9523E-4,31.268354083,0.540337787,0.172342834,0.236842105,0.392857143
1.97376E-4,31.50416897,0.544247625,0.171108139,0.236842105,0.392857143
2.00426E-4,31.763156808,0.549748799,0.169770553,0.236842105,0.392857143
2.02552E-4,32.005056685,0.553544199,0.168535858,0.245614035,0.392857143
2.04937E-4,32.270108289,0.557762496,0.167198271,0.245614035,0.392857143
2.06887E-4,32.51755701,0.561182435,0.165963576,0.245614035,0.392857143
2.09264E-4,32.767167889,0.565315007,0.164728882,0.263157895,0.428571429
2.11658E-4,33.019957361,0.569439076,0.163494187,0.263157895,0.428571429
2.13201E-4,33.253791685,0.572075989,0.162362383,0.263157895,0.428571429
2.15119E-4,33.510736644,0.575331529,0.161127688,0.263157895,0.428571429
2.17779E-4,33.770945558,0.579805132,0.159892993,0.263157895,0.428571429
2.1979E-4,34.011595948,0.583155393,0.158761189,0.271929825,0.428571429
2.21669E-4,34.254606634,0.586261821,0.157629386,0.280701754,0.428571429
2.23359E-4,34.52148381,0.589035919,0.156394691,0.280701754,0.428571429
2.25887E-4,34.768785536,0.593151456,0.155262887,0.289473684,0.428571429
2.2748E-4,35.01814534,0.595724916,0.154131083,0.289473684,0.428571429
2.28543E-4,35.268824051,0.597430843,0.15299928,0.289473684,0.428571429
2.30781E-4,35.521183157,0.601003093,0.151867476,0.298245614,0.428571429
2.33484E-4,35.75351918,0.605272417,0.150838564,0.298245614,0.428571429
2.35143E-4,36.01122598,0.607871795,0.14970676,0.307017544,0.428571429
2.37089E-4,36.270951496,0.610898009,0.148574956,0.307017544,0.428571429
2.39584E-4,36.509265945,0.614744556,0.147546044,0.324561404,0.464285714
2.41479E-4,36.774016,0.617640106,0.14641424,0.324561404,0.464285714
2.43946E-4,37.016701054,0.62137722,0.145385328,0.324561404,0.464285714
2.46277E-4,37.261628458,0.624874027,0.144356415,0.324561404,0.464285714
2.48633E-4,37.509428382,0.628376702,0.143327503,0.324561404,0.464285714
2.49641E-4,37.758708874,0.629864688,0.14229859,0.324561404,0.464285714
2.5227E-4,38.009939743,0.633719136,0.141269678,0.333333333,0.464285714
2.54178E-4,38.263350573,0.636489999,0.140240766,0.342105263,0.464285714
2.56631E-4,38.518551261,0.640023752,0.139211853,0.342105263,0.464285714
2.5864E-4,38.750635344,0.642890329,0.138285832,0.342105263,0.464285714
2.60979E-4,39.010739407,0.646200561,0.137256919,0.342105263,0.464285714
