x,y,species_4 cloglog values
1.0,1.0,0.14836432
2.0,2.0,0.34905633
3.0,3.0,0.65739316
4.0,4.0,0.13563241
5.0,5.0,0.015207171
6.0,6.0,0.03875436
7.0,7.0,0.07741345
8.0,8.0,0.041854773
9.0,9.0,0.44568387
10.0,10.0,0.0020743683
11.0,11.0,0.2147979
12.0,12.0,0.5728567
13.0,13.0,0.13158903
14.0,14.0,0.6589366
15.0,15.0,0.03658623
16.0,16.0,0.20416743
17.0,17.0,0.7673573
18.0,18.0,0.089277215
19.0,19.0,0.030504746
20.0,20.0,0.097575955
21.0,21.0,0.2039913
22.0,22.0,0.08273499
23.0,23.0,0.0028540776
24.0,24.0,1.4882348E-4
25.0,25.0,0.089703895
26.0,26.0,0.17061046
27.0,27.0,0.725109
28.0,28.0,0.02746374
29.0,29.0,0.20133783
30.0,30.0,0.0010452517
31.0,31.0,0.068903245
32.0,32.0,0.1537872
33.0,33.0,0.6953041
34.0,34.0,0.5339973
35.0,35.0,0.10966089
36.0,36.0,0.2271673
37.0,37.0,0.08981453
38.0,38.0,0.30966377
39.0,39.0,0.26089284
40.0,40.0,0.13188769
41.0,41.0,0.08266169
42.0,42.0,0.9191139
43.0,43.0,0.0270196
44.0,44.0,0.07201939
45.0,45.0,0.43974862
46.0,46.0,0.010818672
47.0,47.0,0.12975423
48.0,48.0,0.027553441
49.0,49.0,0.3983151
50.0,50.0,0.3280452
51.0,51.0,0.16768312
52.0,52.0,0.018537244
53.0,53.0,0.20725605
54.0,54.0,0.17056619
55.0,55.0,0.057873495
56.0,56.0,0.79183555
57.0,57.0,0.3515772
58.0,58.0,0.0027550466
59.0,59.0,0.23888713
60.0,60.0,0.38162526
61.0,61.0,0.06021196
62.0,62.0,0.0146693345
63.0,63.0,0.5491772
64.0,64.0,0.47804484
65.0,65.0,0.05037713
66.0,66.0,0.6953378
67.0,67.0,0.09005077
68.0,68.0,9.4778975E-4
69.0,69.0,0.1592279
70.0,70.0,0.57318145
71.0,71.0,0.77035415
72.0,72.0,0.20305602
73.0,73.0,0.23269306
74.0,74.0,0.034297172
75.0,75.0,0.23590015
76.0,76.0,0.02935419
77.0,77.0,0.4145577
78.0,78.0,0.026099775
79.0,79.0,0.33240235
80.0,80.0,0.12479409
81.0,81.0,0.056136474
82.0,82.0,0.11318664
83.0,83.0,0.08846543
84.0,84.0,0.1957193
85.0,85.0,0.37576732
86.0,86.0,0.40022674
87.0,87.0,0.012468734
88.0,88.0,0.09602003
89.0,89.0,0.61666644
90.0,90.0,0.9685166
91.0,91.0,0.36300546
92.0,92.0,0.0969699
93.0,93.0,0.05989489
94.0,94.0,0.03509397
95.0,95.0,0.84118557
96.0,96.0,0.0071068173
97.0,97.0,0.07076618
98.0,98.0,0.006985002
99.0,99.0,0.19001226
100.0,100.0,0.19016343
101.0,101.0,0.20418215
102.0,102.0,0.16306828
103.0,103.0,0.97387195
104.0,104.0,0.12556884
105.0,105.0,0.13770309
106.0,106.0,0.2251079
107.0,107.0,0.12263153
108.0,108.0,0.10245664
109.0,109.0,0.1997483
110.0,110.0,0.08244533
111.0,111.0,0.25622886
