X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,9.172222255624658E-4,91.85226212495435,0.9759756559666323
2.0,2.0,train,0.001048077952532123,94.45000899218026,0.9858867574626378
3.0,3.0,train,1.44827638357171E-4,25.724605793776266,0.44498084818903916
4.0,4.0,train,3.224480500038194E-4,51.515943076562635,0.7303995819336924
5.0,5.0,train,9.184241291804839E-5,18.09405356351042,0.31158082467347614
7.0,7.0,train,1.855027379115965E-4,30.753874994536982,0.5295684848474951
8.0,8.0,train,1.7144965934986077E-4,28.957862857389713,0.5019109371897867
10.0,10.0,train,1.8513490982602801E-4,30.67843888349249,0.5288645256844107
11.0,11.0,train,3.208992932903086E-4,51.14575666553775,0.7286968233771992
12.0,12.0,train,5.806020906403477E-4,81.9162613628529,0.9056044157053806
13.0,13.0,train,5.59763980690394E-4,80.7314683360496,0.8972596136495434
14.0,14.0,train,6.259798329268932E-4,83.4512058139914,0.9215057869040699
15.0,15.0,train,4.862059948083027E-4,75.82969653953751,0.8614497776946537
17.0,17.0,train,9.257607796596065E-5,18.233199698596724,0.31363097044319743
18.0,18.0,train,2.5372685727862967E-4,40.063114945171286,0.6435100636361057
19.0,19.0,train,2.7070174214911455E-4,42.98529285617807,0.6672805023725389
20.0,20.0,train,3.4336470679757015E-4,55.35608110513708,0.7523762068088969
21.0,21.0,train,2.670011116810836E-4,42.19529916290408,0.6622373020910932
22.0,22.0,train,2.5993170115130734E-4,40.978850973297206,0.65238967128638
23.0,23.0,train,2.8762962049088824E-4,45.96151001550638,0.6894066030915851
24.0,24.0,train,3.781571366485705E-4,61.88562670294056,0.7850355633386285
26.0,26.0,train,3.991461932445563E-4,65.31892466634143,0.802616608741302
27.0,27.0,train,0.0011713655258310171,95.85177068529298,0.9914500497834168
28.0,28.0,train,6.742468889285201E-4,85.64884556877377,0.935490668575951
30.0,30.0,train,1.8155975837821868E-4,30.193528595380947,0.5219671885485619
31.0,31.0,train,3.331524894083073E-4,53.52661667639492,0.7418798197852833
33.0,33.0,train,7.3274255915839E-5,15.504311264558849,0.25760525249135835
34.0,34.0,train,1.1984700838057649E-4,22.229674203004816,0.3856567785798176
35.0,35.0,train,1.542456328126259E-4,26.95142801343881,0.46582866871287765
36.0,36.0,train,1.843302790895089E-4,30.513420996138795,0.5273209272323981
37.0,37.0,train,4.200621029444782E-4,68.25462660481693,0.8187058727499791
38.0,38.0,train,3.6172058417882147E-4,58.6360503912469,0.7701813770240091
39.0,39.0,train,2.9789935342280753E-4,47.72119233230689,0.7021064584254945
40.0,40.0,train,3.7125225886371115E-4,60.73818409159341,0.7789160969236085
41.0,41.0,train,3.6224206529360004E-4,58.76986391477027,0.7706680586847119
42.0,42.0,train,3.5270780869698786E-4,57.078952065096686,0.7616049680017933
43.0,43.0,train,5.600009735494356E-4,80.75329624880588,0.8973585483627277
44.0,44.0,train,6.210776987497716E-4,83.16286457780295,0.9199258534621706
45.0,45.0,train,0.0013743639660281494,97.29704006763335,0.9962539680890866
47.0,47.0,train,3.386257408083632E-4,54.34646534052,0.7475595310202282
49.0,49.0,train,2.6482811436743815E-4,41.729953088490205,0.6592404043591433
50.0,50.0,train,4.6010167240540515E-4,73.25636685270852,0.8459384729745585
53.0,53.0,train,0.0017923308036072506,98.02055100632853,0.9993150570770057
54.0,54.0,train,2.992614700638082E-4,48.00855408829596,0.7037514170181971
55.0,55.0,train,0.002042250341902599,98.80578511028035,0.9997520161214949
57.0,57.0,train,2.850482675931601E-4,45.5181628719394,0.6861301669849809
59.0,59.0,train,2.824018955077129E-4,45.03332455780538,0.682735320941386
61.0,61.0,train,3.988086658821226E-4,65.24738115403855,0.8023455901965406
62.0,62.0,train,3.416274007709247E-4,55.03254973004771,0.7506211764528703
63.0,63.0,train,6.128110670753637E-4,82.86128748032073,0.9171891980916015
64.0,64.0,train,6.881310998696912E-4,86.29919442695179,0.9390308587342966
65.0,65.0,train,8.466095125458553E-4,89.765116648248,0.9679876382971068
68.0,68.0,train,3.297134741043703E-4,52.6158979617552,0.7382458876390383
70.0,70.0,train,3.325155911941947E-4,53.38561759148333,0.7412106508626228
72.0,72.0,train,3.4164092287224335E-4,55.03485431464081,0.7506348844262687
73.0,73.0,train,9.714388260145096E-4,93.23124632924487,0.9807277435341171
75.0,75.0,train,0.002585327051390125,99.70845964752272,0.9999727337202786
76.0,76.0,train,1.4832202494663075E-4,26.186191148765314,0.4528093624527618
77.0,77.0,train,4.2114694007017314E-4,68.45712441704912,0.8195036330564851
78.0,78.0,train,5.481821544827035E-4,80.00992338954764,0.8923066676442699
79.0,79.0,train,3.3025562071098435E-4,52.756085856708395,0.7388221406391563
80.0,80.0,train,5.117091496199391E-4,78.00249706444353,0.8750944856044007
82.0,82.0,train,3.4978819896256416E-4,56.52578554072113,0.7587586510551043
83.0,83.0,train,3.2420309963755213E-4,51.857358911291335,0.732316232997235
84.0,84.0,train,5.729857797885508E-4,81.54830273646002,0.9026360432927694
85.0,85.0,train,9.228305081449925E-4,92.07365817822564,0.9765171847876554
86.0,86.0,train,1.9486306805509794E-4,31.982356612736808,0.5471328482508895
87.0,87.0,train,0.0029153841890815916,100.0,0.9999928729030921
88.0,88.0,train,1.717900160929158E-5,1.9949047492534613,0.06745325437592287
89.0,89.0,train,2.5679517761305245E-4,40.46510077171052,0.6479290602877212
90.0,90.0,train,1.9139599096145964E-4,31.57094121523389,0.5407047886561773
93.0,93.0,train,4.608580067885847E-4,73.44627114922504,0.8464114303409813
94.0,94.0,train,4.5824445515921507E-4,73.09025603310644,0.8447709140157149
95.0,95.0,train,5.578661615943494E-4,80.55667222690445,0.8964639054964628
96.0,96.0,train,2.2164540995693843E-4,35.41345764656062,0.5938496689887711
97.0,97.0,train,4.859727709755462E-4,75.76146340041494,0.86131835587358
98.0,98.0,train,0.0013502990163459768,97.09436650981218,0.9958689738157824
99.0,99.0,train,9.494176969592111E-4,92.69012927853157,0.9789229079303413
100.0,100.0,train,9.060246871634378E-4,91.52410105792,0.9748567911747023
101.0,101.0,train,3.544743545124196E-4,57.46704187979486,0.7633108345785302
102.0,102.0,train,1.255252799115531E-4,22.980709614310427,0.3996754168522576
103.0,103.0,train,3.682127903836252E-4,60.25126868680394,0.7761674304806758
104.0,104.0,train,5.347046598415186E-4,79.05252708183377,0.8862416657967394
106.0,106.0,train,3.591928916581698E-4,58.05333746662917,0.7678076863988597
107.0,107.0,train,0.0011920836263837567,96.08828508628535,0.9921406623693202
108.0,108.0,train,0.0012340834879530733,96.57169652413893,0.9933742426297638
110.0,110.0,train,1.960521959616789E-4,32.13356813648433,0.5493167422200271
111.0,111.0,train,6.528735135403673E-4,84.55625095784313,0.9296349398560323
112.0,112.0,train,1.7580720976509344E-4,29.48952192983602,0.5106565435550369
113.0,113.0,train,4.2302235500914416E-4,68.87918703382655,0.8208744921103953
114.0,114.0,train,6.572308316494676E-4,84.836768209162,0.9308703667036188
115.0,115.0,train,5.091107434691215E-5,10.716221362535348,0.18695064851655874
116.0,116.0,train,2.8983350725418584E-4,46.50915483309596,0.6921768527332386
118.0,118.0,train,1.4801138034381363E-4,26.144725701539606,0.45211791663898504
119.0,119.0,train,1.7491422169062614E-4,29.390981618626626,0.5088769148737147
120.0,120.0,train,4.067856399728009E-5,8.143575579206946,0.15241683412661688
