x,y,species avg
1.0,1.0,0.12640755
2.0,2.0,0.26297888
3.0,3.0,0.73718596
4.0,4.0,0.13155347
5.0,5.0,0.014264322
6.0,6.0,0.037731115
7.0,7.0,0.053140983
8.0,8.0,0.026830804
9.0,9.0,0.3626552
10.0,10.0,0.0030132928
11.0,11.0,0.15236905
12.0,12.0,0.53006893
13.0,13.0,0.09728915
14.0,14.0,0.51803136
15.0,15.0,0.024867628
16.0,16.0,0.25726798
17.0,17.0,0.7569577
18.0,18.0,0.0883704
19.0,19.0,0.03320124
20.0,20.0,0.09902606
21.0,21.0,0.1364547
22.0,22.0,0.05652211
23.0,23.0,0.0030113442
24.0,24.0,8.030939E-5
25.0,25.0,0.08872053
26.0,26.0,0.2667064
27.0,27.0,0.6671126
28.0,28.0,0.03021753
29.0,29.0,0.17832653
30.0,30.0,0.001020541
31.0,31.0,0.06392454
32.0,32.0,0.18481791
33.0,33.0,0.63286865
34.0,34.0,0.43745762
35.0,35.0,0.10224399
36.0,36.0,0.25112882
37.0,37.0,0.0735597
38.0,38.0,0.32323164
39.0,39.0,0.29196966
40.0,40.0,0.1175082
41.0,41.0,0.07520407
42.0,42.0,0.86121637
43.0,43.0,0.018248186
44.0,44.0,0.06602354
45.0,45.0,0.49045584
46.0,46.0,0.007231958
47.0,47.0,0.06930269
48.0,48.0,0.016734347
49.0,49.0,0.35973433
50.0,50.0,0.25247657
51.0,51.0,0.39143276
52.0,52.0,0.017362164
53.0,53.0,0.124758124
54.0,54.0,0.19244163
55.0,55.0,0.06099343
56.0,56.0,0.81596696
57.0,57.0,0.34983367
58.0,58.0,0.0037668836
59.0,59.0,0.19075853
60.0,60.0,0.33799943
61.0,61.0,0.023974992
62.0,62.0,0.01244191
63.0,63.0,0.4279366
64.0,64.0,0.36442563
65.0,65.0,0.04076506
66.0,66.0,0.7301209
67.0,67.0,0.10462113
68.0,68.0,7.850932E-4
69.0,69.0,0.17420425
70.0,70.0,0.5925959
71.0,71.0,0.7710867
72.0,72.0,0.18311702
73.0,73.0,0.24474876
74.0,74.0,0.038122267
75.0,75.0,0.22044092
76.0,76.0,0.049150936
77.0,77.0,0.44283488
78.0,78.0,0.031855702
79.0,79.0,0.32200652
80.0,80.0,0.12053802
81.0,81.0,0.083175614
82.0,82.0,0.12179108
83.0,83.0,0.07088606
84.0,84.0,0.18888062
85.0,85.0,0.398521
86.0,86.0,0.39959556
87.0,87.0,0.013064889
88.0,88.0,0.108584866
89.0,89.0,0.66445625
90.0,90.0,0.9493294
91.0,91.0,0.29459384
92.0,92.0,0.06949872
93.0,93.0,0.044900108
94.0,94.0,0.031787615
95.0,95.0,0.6805614
96.0,96.0,0.007447597
97.0,97.0,0.0725634
98.0,98.0,0.0078557385
99.0,99.0,0.15684769
100.0,100.0,0.22161269
101.0,101.0,0.18073258
102.0,102.0,0.16522208
103.0,103.0,0.93457407
104.0,104.0,0.09589711
105.0,105.0,0.1206321
106.0,106.0,0.18520544
107.0,107.0,0.08062515
108.0,108.0,0.104923874
109.0,109.0,0.14138038
110.0,110.0,0.069048285
111.0,111.0,0.22947527
112.0,112.0,0.22345574
113.0,113.0,0.06760475
114.0,114.0,0.015293835
115.0,115.0,0.0042674034
116.0,116.0,0.16014095
117.0,117.0,0.056159236
118.0,118.0,0.026224988
119.0,119.0,0.13052927
120.0,120.0,0.18818077
121.0,121.0,0.021465912
122.0,122.0,0.06677065
123.0,123.0,0.16117838
124.0,124.0,0.0047274115
125.0,125.0,0.008423391
126.0,126.0,0.039807696
127.0,127.0,0.21400699
128.0,128.0,0.7161855
129.0,129.0,0.4408023
130.0,130.0,0.78084934
131.0,131.0,0.18457414
132.0,132.0,0.40579578
133.0,133.0,0.16396049
134.0,134.0,0.046592187
135.0,135.0,0.09250542
136.0,136.0,3.6680856E-4
137.0,137.0,0.1158714
138.0,138.0,2.3835347E-4
139.0,139.0,0.0020112006
140.0,140.0,0.006652955
141.0,141.0,0.7924173
142.0,142.0,0.030550813
143.0,143.0,0.8252399
144.0,144.0,0.0909281
145.0,145.0,0.79792976
146.0,146.0,0.05676221
147.0,147.0,0.117363766
148.0,148.0,0.41078666
149.0,149.0,1.7735937E-4
150.0,150.0,0.10104837
151.0,151.0,0.11669105
152.0,152.0,0.18852079
153.0,153.0,5.951281E-4
154.0,154.0,0.124404535
155.0,155.0,0.15711431
156.0,156.0,0.0311775
157.0,157.0,0.22397035
158.0,158.0,0.0047872243
159.0,159.0,0.7408185
160.0,160.0,0.096722655
161.0,161.0,0.15342444
162.0,162.0,0.10725736
163.0,163.0,0.09437963
164.0,164.0,0.08989676
165.0,165.0,0.034411356
166.0,166.0,0.7728931
167.0,167.0,0.17366534
168.0,168.0,0.377971
169.0,169.0,0.26767924
170.0,170.0,0.50242805
171.0,171.0,0.26890928
172.0,172.0,0.0077002724
173.0,173.0,0.35436863
174.0,174.0,0.0048391065
175.0,175.0,0.012606529
176.0,176.0,0.027128953
177.0,177.0,0.09718684
178.0,178.0,0.06237739
179.0,179.0,0.115676664
180.0,180.0,0.045786478
181.0,181.0,0.103720486
182.0,182.0,0.06752037
183.0,183.0,0.5464774
184.0,184.0,0.53352576
185.0,185.0,0.11360503
186.0,186.0,0.069018744
187.0,187.0,0.028869506
188.0,188.0,0.058623478
189.0,189.0,0.8229177
190.0,190.0,0.050637607
191.0,191.0,0.9811314
192.0,192.0,0.14248155
193.0,193.0,0.037433572
194.0,194.0,0.17920098
195.0,195.0,0.11878496
196.0,196.0,0.20910913
197.0,197.0,0.005660528
198.0,198.0,0.89814067
199.0,199.0,0.9192027
200.0,200.0,0.73961365
201.0,201.0,0.12812887
202.0,202.0,0.054592457
203.0,203.0,0.08574313
204.0,204.0,0.14213379
205.0,205.0,0.105857775
206.0,206.0,0.13456708
207.0,207.0,0.84726423
208.0,208.0,0.09615749
209.0,209.0,0.7155325
210.0,210.0,0.008321883
211.0,211.0,0.07655018
212.0,212.0,0.040361036
213.0,213.0,0.058646735
214.0,214.0,0.12158172
215.0,215.0,0.08519634
216.0,216.0,0.13568413
217.0,217.0,0.6164681
218.0,218.0,0.27338597
219.0,219.0,0.03580048
220.0,220.0,0.23886001
221.0,221.0,0.45175833
222.0,222.0,0.323029
223.0,223.0,0.0069369506
224.0,224.0,0.09008287
225.0,225.0,0.14510757
226.0,226.0,0.88165027
227.0,227.0,2.4933091E-4
228.0,228.0,0.068266414
229.0,229.0,0.83105505
230.0,230.0,7.0758275E-4
231.0,231.0,0.66685396
232.0,232.0,0.36982256
233.0,233.0,0.0069214785
234.0,234.0,0.6186698
235.0,235.0,0.03060798
236.0,236.0,0.71315587
237.0,237.0,0.09966557
238.0,238.0,0.6869403
239.0,239.0,0.6742933
240.0,240.0,0.0017380911
241.0,241.0,0.54513514
242.0,242.0,0.28419125
243.0,243.0,0.067012876
244.0,244.0,0.16264099
245.0,245.0,0.12771103
246.0,246.0,0.012384886
247.0,247.0,0.088723645
248.0,248.0,0.062136944
249.0,249.0,8.023212E-5
250.0,250.0,0.22443284
251.0,251.0,4.4935945E-4
252.0,252.0,0.30528995
253.0,253.0,0.025259176
254.0,254.0,0.81377923
255.0,255.0,0.76879966
256.0,256.0,0.11573876
257.0,257.0,0.07419463
258.0,258.0,0.46507436
259.0,259.0,0.037753526
260.0,260.0,0.1683669
261.0,261.0,0.04692233
262.0,262.0,0.10629126
263.0,263.0,0.002988521
264.0,264.0,0.0052291364
265.0,265.0,0.1527877
266.0,266.0,0.08144349
267.0,267.0,0.12328573
268.0,268.0,0.028818006
269.0,269.0,0.7494131
270.0,270.0,0.0743999
271.0,271.0,0.04716966
272.0,272.0,1.0877287E-4
273.0,273.0,0.6580806
274.0,274.0,0.060281675
275.0,275.0,0.1739537
276.0,276.0,1.1781314E-4
277.0,277.0,0.38068473
278.0,278.0,0.97493833
279.0,279.0,0.15984207
280.0,280.0,0.43807212
281.0,281.0,0.018304007
282.0,282.0,0.8173771
283.0,283.0,0.17310943
284.0,284.0,0.10348564
285.0,285.0,0.1213784
286.0,286.0,0.7771428
287.0,287.0,0.024888802
288.0,288.0,6.634241E-4
289.0,289.0,0.030176949
290.0,290.0,0.53586227
291.0,291.0,0.13266896
292.0,292.0,0.01671032
293.0,293.0,0.072932094
294.0,294.0,0.8269539
295.0,295.0,9.712647E-4
296.0,296.0,0.70846385
297.0,297.0,0.053721417
298.0,298.0,0.032983605
299.0,299.0,0.1307364
300.0,300.0,0.0032860716
301.0,301.0,0.78970057
302.0,302.0,7.84798E-5
303.0,303.0,0.6247035
304.0,304.0,0.77219635
305.0,305.0,0.18923709
306.0,306.0,0.93643194
307.0,307.0,0.08366121
308.0,308.0,0.16646591
309.0,309.0,0.12808388
310.0,310.0,0.066813864
311.0,311.0,0.7977472
312.0,312.0,0.04877071
313.0,313.0,0.12368751
314.0,314.0,0.09014121
315.0,315.0,0.44677588
316.0,316.0,9.002442E-4
317.0,317.0,0.07919726
318.0,318.0,0.10452564
319.0,319.0,0.13891368
320.0,320.0,0.25334746
321.0,321.0,0.16134425
322.0,322.0,0.6218388
323.0,323.0,0.21233389
324.0,324.0,0.12226073
325.0,325.0,0.053298842
326.0,326.0,0.14201578
327.0,327.0,0.074957214
328.0,328.0,0.08408967
329.0,329.0,0.21067923
330.0,330.0,0.017430386
331.0,331.0,0.28196234
332.0,332.0,0.18162152
333.0,333.0,0.319783
334.0,334.0,0.06747195
335.0,335.0,0.36850056
336.0,336.0,0.6529762
337.0,337.0,0.5221265
338.0,338.0,0.2132218
339.0,339.0,0.088767566
340.0,340.0,0.09975862
341.0,341.0,0.4690523
342.0,342.0,0.008290875
343.0,343.0,0.026810022
344.0,344.0,0.034359943
345.0,345.0,0.07290053
346.0,346.0,0.7800421
347.0,347.0,0.056807905
348.0,348.0,5.5096774E-5
349.0,349.0,0.25551337
350.0,350.0,0.122063525
351.0,351.0,0.084195435
352.0,352.0,0.04896704
353.0,353.0,0.39953205
354.0,354.0,0.33894512
355.0,355.0,0.8563242
356.0,356.0,0.055877663
357.0,357.0,0.0858493
358.0,358.0,0.16047728
359.0,359.0,0.76793134
360.0,360.0,0.86046886
361.0,361.0,0.3520626
362.0,362.0,0.06647947
363.0,363.0,7.194745E-4
364.0,364.0,0.08114047
365.0,365.0,0.023538552
366.0,366.0,0.13104898
367.0,367.0,4.117122E-4
368.0,368.0,0.92116255
369.0,369.0,3.8577346E-4
370.0,370.0,0.5036284
371.0,371.0,0.22494751
372.0,372.0,0.14875743
373.0,373.0,0.7697129
374.0,374.0,0.10680415
375.0,375.0,4.863691E-5
376.0,376.0,0.0388098
377.0,377.0,0.11060676
378.0,378.0,0.80260897
379.0,379.0,0.024566516
380.0,380.0,3.8618557E-5
381.0,381.0,0.058510702
382.0,382.0,0.0040075877
383.0,383.0,0.040210344
384.0,384.0,0.0377498
385.0,385.0,0.109303184
386.0,386.0,0.69847023
387.0,387.0,0.077480264
388.0,388.0,0.4225618
389.0,389.0,0.008674667
390.0,390.0,0.23709913
391.0,391.0,0.021052679
392.0,392.0,0.0031299456
393.0,393.0,0.1073992
394.0,394.0,0.075213924
395.0,395.0,0.039118864
396.0,396.0,0.14492297
397.0,397.0,0.15029114
398.0,398.0,0.42434397
399.0,399.0,0.06706449
400.0,400.0,0.10990844
401.0,401.0,0.6394595
402.0,402.0,0.6565442
403.0,403.0,0.8521091
404.0,404.0,2.657437E-4
405.0,405.0,0.8071306
406.0,406.0,0.04926026
407.0,407.0,0.027793847
408.0,408.0,0.10951118
409.0,409.0,0.0012462833
410.0,410.0,0.15936106
411.0,411.0,0.74809545
412.0,412.0,0.24341816
413.0,413.0,0.2631274
414.0,414.0,0.21555535
415.0,415.0,0.0040426436
416.0,416.0,0.023862187
417.0,417.0,0.19427675
418.0,418.0,0.08703951
419.0,419.0,0.0022223885
420.0,420.0,0.009473948
421.0,421.0,0.10321416
422.0,422.0,0.0107908845
423.0,423.0,0.105848715
424.0,424.0,0.083332
425.0,425.0,0.523232
426.0,426.0,0.07346128
427.0,427.0,0.003974999
428.0,428.0,0.14274248
429.0,429.0,0.0036762466
430.0,430.0,0.44178805
431.0,431.0,0.124457434
432.0,432.0,0.104827255
433.0,433.0,0.05232939
434.0,434.0,0.578758
435.0,435.0,0.75837165
436.0,436.0,0.03062849
437.0,437.0,0.015485053
438.0,438.0,0.36300558
439.0,439.0,6.560751E-5
440.0,440.0,0.014165963
441.0,441.0,0.08572777
442.0,442.0,0.2220733
443.0,443.0,0.083383314
444.0,444.0,0.3481315
445.0,445.0,0.43740007
446.0,446.0,0.008626521
447.0,447.0,0.103839636
448.0,448.0,0.644823
449.0,449.0,0.27598202
