x,y,species max
1.0,1.0,0.18454497
2.0,2.0,0.3951119
3.0,3.0,0.7860179
4.0,4.0,0.17430958
5.0,5.0,0.019457866
6.0,6.0,0.058287013
7.0,7.0,0.07741345
8.0,8.0,0.04195882
9.0,9.0,0.44568387
10.0,10.0,0.005209793
11.0,11.0,0.2147979
12.0,12.0,0.6321075
13.0,13.0,0.14596413
14.0,14.0,0.6589366
15.0,15.0,0.03658623
16.0,16.0,0.31214163
17.0,17.0,0.7819735
18.0,18.0,0.10533508
19.0,19.0,0.05427408
20.0,20.0,0.11656787
21.0,21.0,0.2039913
22.0,22.0,0.08524809
23.0,23.0,0.0039737914
24.0,24.0,1.4882348E-4
25.0,25.0,0.104408875
26.0,26.0,0.3684307
27.0,27.0,0.763039
28.0,28.0,0.04610778
29.0,29.0,0.2604561
30.0,30.0,0.0013843223
31.0,31.0,0.090560846
32.0,32.0,0.25164887
33.0,33.0,0.7478183
34.0,34.0,0.5339973
35.0,35.0,0.13172488
36.0,36.0,0.34934402
37.0,37.0,0.11190806
38.0,38.0,0.4040006
39.0,39.0,0.35520414
40.0,40.0,0.17107932
41.0,41.0,0.09892901
42.0,42.0,0.920273
43.0,43.0,0.0270196
44.0,44.0,0.086676285
45.0,45.0,0.587534
46.0,46.0,0.010818672
47.0,47.0,0.12975423
48.0,48.0,0.027553441
49.0,49.0,0.4519124
50.0,50.0,0.33506545
51.0,51.0,0.56205326
52.0,52.0,0.022672588
53.0,53.0,0.20725605
54.0,54.0,0.21851024
55.0,55.0,0.086361684
56.0,56.0,0.920295
57.0,57.0,0.3848182
58.0,58.0,0.006138075
59.0,59.0,0.23955144
60.0,60.0,0.50632674
61.0,61.0,0.06021196
62.0,62.0,0.015962038
63.0,63.0,0.5491772
64.0,64.0,0.47804484
65.0,65.0,0.05037713
66.0,66.0,0.7919111
67.0,67.0,0.18025085
68.0,68.0,0.0010007664
69.0,69.0,0.23244703
70.0,70.0,0.6452051
71.0,71.0,0.83718556
72.0,72.0,0.27064916
73.0,73.0,0.31164408
74.0,74.0,0.06346359
75.0,75.0,0.27999344
76.0,76.0,0.10611489
77.0,77.0,0.5442476
78.0,78.0,0.051228072
79.0,79.0,0.3949541
80.0,80.0,0.15798438
81.0,81.0,0.124841146
82.0,82.0,0.15163887
83.0,83.0,0.09215583
84.0,84.0,0.27663094
85.0,85.0,0.49286476
