x,y,species median
1.0,1.0,0.13925727
2.0,2.0,0.29274383
3.0,3.0,0.7406409
4.0,4.0,0.13270691
5.0,5.0,0.015207171
6.0,6.0,0.03536513
7.0,7.0,0.06220691
8.0,8.0,0.024325535
9.0,9.0,0.34999478
10.0,10.0,0.0027902469
11.0,11.0,0.17035288
12.0,12.0,0.5645475
13.0,13.0,0.076629385
14.0,14.0,0.5064676
15.0,15.0,0.022293618
16.0,16.0,0.25224036
17.0,17.0,0.75798845
18.0,18.0,0.089277215
19.0,19.0,0.035839196
20.0,20.0,0.097575955
21.0,21.0,0.12403732
22.0,22.0,0.0420835
23.0,23.0,0.0028540776
24.0,24.0,7.7697536E-5
25.0,25.0,0.089703895
26.0,26.0,0.2904556
27.0,27.0,0.725109
28.0,28.0,0.029891916
29.0,29.0,0.1816388
30.0,30.0,0.0010452517
31.0,31.0,0.068903245
32.0,32.0,0.18168636
33.0,33.0,0.66529036
34.0,34.0,0.43126306
35.0,35.0,0.11961085
36.0,36.0,0.23974554
37.0,37.0,0.0795918
38.0,38.0,0.31939706
39.0,39.0,0.31312776
40.0,40.0,0.13188769
41.0,41.0,0.08266169
42.0,42.0,0.8266219
43.0,43.0,0.018235251
44.0,44.0,0.07201939
45.0,45.0,0.48047295
46.0,46.0,0.006961057
47.0,47.0,0.055319212
48.0,48.0,0.015109148
49.0,49.0,0.3497169
50.0,50.0,0.26417807
51.0,51.0,0.3979506
52.0,52.0,0.018537244
53.0,53.0,0.1365785
54.0,54.0,0.1985362
55.0,55.0,0.06735009
56.0,56.0,0.87741023
57.0,57.0,0.3472266
58.0,58.0,0.0031012024
59.0,59.0,0.20817544
60.0,60.0,0.38162526
61.0,61.0,0.01372415
62.0,62.0,0.014174706
63.0,63.0,0.3978715
64.0,64.0,0.36059383
65.0,65.0,0.042946953
66.0,66.0,0.74250287
67.0,67.0,0.09005077
68.0,68.0,8.569754E-4
69.0,69.0,0.1662475
70.0,70.0,0.6241662
71.0,71.0,0.7864407
72.0,72.0,0.19722667
73.0,73.0,0.2537826
74.0,74.0,0.034297172
75.0,75.0,0.23265107
76.0,76.0,0.03635554
77.0,77.0,0.44002128
78.0,78.0,0.026099775
79.0,79.0,0.3309778
80.0,80.0,0.12479409
81.0,81.0,0.07533569
82.0,82.0,0.11326775
83.0,83.0,0.08846543
84.0,84.0,0.1957193
85.0,85.0,0.382678
86.0,86.0,0.40022674
87.0,87.0,0.013737812
88.0,88.0,0.103949055
89.0,89.0,0.72470415
90.0,90.0,0.9607646
91.0,91.0,0.34417498
92.0,92.0,0.08914625
93.0,93.0,0.05008057
94.0,94.0,0.037820593
95.0,95.0,0.67342824
96.0,96.0,0.0071068173
97.0,97.0,0.07076618
98.0,98.0,0.006985002
99.0,99.0,0.19001226
100.0,100.0,0.22813304
101.0,101.0,0.1823023
102.0,102.0,0.16306828
103.0,103.0,0.9711239
104.0,104.0,0.1103166
105.0,105.0,0.1336112
106.0,106.0,0.19856493
107.0,107.0,0.09118103
108.0,108.0,0.10245664
109.0,109.0,0.12741368
110.0,110.0,0.07447632
111.0,111.0,0.25622886
112.0,112.0,0.2242669
113.0,113.0,0.07583658
114.0,114.0,0.01532955
115.0,115.0,0.004133537
116.0,116.0,0.16321178
117.0,117.0,0.063584715
118.0,118.0,0.02756933
119.0,119.0,0.15459365
120.0,120.0,0.20280686
121.0,121.0,0.022193894
122.0,122.0,0.07815654
123.0,123.0,0.14243262
124.0,124.0,0.0050881985
125.0,125.0,0.008041812
126.0,126.0,0.040661104
127.0,127.0,0.24487239
128.0,128.0,0.73136544
129.0,129.0,0.42428252
130.0,130.0,0.7903286
131.0,131.0,0.17202169
132.0,132.0,0.39101803
133.0,133.0,0.16088478
134.0,134.0,0.0499754
135.0,135.0,0.104600064
136.0,136.0,3.8563288E-4
137.0,137.0,0.11825976
138.0,138.0,2.471044E-4
139.0,139.0,0.0017102734
140.0,140.0,0.0066983406
141.0,141.0,0.8269042
142.0,142.0,0.03623649
143.0,143.0,0.8605399
144.0,144.0,0.08795849
145.0,145.0,0.7964035
146.0,146.0,0.066977255
147.0,147.0,0.13559009
148.0,148.0,0.4052365
