x,y,species min
1.0,1.0,0.05087231
2.0,2.0,0.098885916
3.0,3.0,0.65739316
4.0,4.0,0.10160598
5.0,5.0,0.009067677
6.0,6.0,0.024066828
7.0,7.0,0.011098105
8.0,8.0,0.008445201
9.0,9.0,0.30670846
10.0,10.0,0.0015196468
11.0,11.0,0.045721788
12.0,12.0,0.43669936
13.0,13.0,0.058977857
14.0,14.0,0.42156097
15.0,15.0,0.017030902
16.0,16.0,0.20416743
17.0,17.0,0.7360722
18.0,18.0,0.07399063
19.0,19.0,0.0063421926
20.0,20.0,0.08267543
21.0,21.0,0.039518625
22.0,22.0,0.032943785
23.0,23.0,0.0019346486
24.0,24.0,2.7913386E-5
25.0,25.0,0.07369605
26.0,26.0,0.17061046
27.0,27.0,0.45710638
28.0,28.0,0.007875938
29.0,29.0,0.09345494
30.0,30.0,5.401405E-4
31.0,31.0,0.017713083
32.0,32.0,0.14915952
33.0,33.0,0.4738233
34.0,34.0,0.35799158
35.0,35.0,0.023169732
36.0,36.0,0.16271932
37.0,37.0,0.033295635
38.0,38.0,0.25846034
39.0,39.0,0.20954244
40.0,40.0,0.028302345
41.0,41.0,0.017524239
42.0,42.0,0.8149906
43.0,43.0,0.008227545
44.0,44.0,0.03209267
45.0,45.0,0.40116015
46.0,46.0,0.0034827979
47.0,47.0,0.031376358
48.0,48.0,0.008839165
49.0,49.0,0.2915064
50.0,50.0,0.10132635
51.0,51.0,0.16768312
52.0,52.0,0.0080545405
53.0,53.0,0.04116126
54.0,54.0,0.17056619
55.0,55.0,0.01642611
56.0,56.0,0.61009365
57.0,57.0,0.32753825
58.0,58.0,0.0027550466
59.0,59.0,0.093470596
60.0,60.0,0.12171148
61.0,61.0,0.008485565
62.0,62.0,0.0073123034
63.0,63.0,0.32493806
64.0,64.0,0.26978406
65.0,65.0,0.032828912
66.0,66.0,0.6496201
67.0,67.0,0.063397914
68.0,68.0,4.1255937E-4
69.0,69.0,0.10587441
70.0,70.0,0.48326796
71.0,71.0,0.64608353
72.0,72.0,0.10035459
73.0,73.0,0.1697786
74.0,74.0,0.024000594
75.0,75.0,0.1573225
76.0,76.0,0.026307859
77.0,77.0,0.35187352
78.0,78.0,0.016575469
79.0,79.0,0.2379352
80.0,80.0,0.0724422
81.0,81.0,0.056136474
82.0,82.0,0.09830698
83.0,83.0,0.020581838
84.0,84.0,0.11088497
85.0,85.0,0.27615047
86.0,86.0,0.29560122
87.0,87.0,0.0048642005
88.0,88.0,0.08703054
89.0,89.0,0.45115268
90.0,90.0,0.89534307
91.0,91.0,0.0887607
92.0,92.0,0.012619706
93.0,93.0,0.020880604
94.0,94.0,0.0056140684
95.0,95.0,0.5385077
96.0,96.0,0.005339794
97.0,97.0,0.041502763
98.0,98.0,0.0056519797
99.0,99.0,0.06841076
100.0,100.0,0.18879329
101.0,101.0,0.09309487
102.0,102.0,0.13055417
103.0,103.0,0.80200523
104.0,104.0,0.017128248
105.0,105.0,0.067621246
106.0,106.0,0.09105893
107.0,107.0,0.043146446
108.0,108.0,0.07462961
109.0,109.0,0.11769843
110.0,110.0,0.025876611
111.0,111.0,0.077189565
112.0,112.0,0.1851066
113.0,113.0,0.018530658
114.0,114.0,0.0029086003
115.0,115.0,0.0017391985
116.0,116.0,0.10083823
117.0,117.0,0.027356626
118.0,118.0,0.0149608115
119.0,119.0,0.039352786
120.0,120.0,0.10616102
121.0,121.0,0.01140611
122.0,122.0,0.017455745
123.0,123.0,0.08646273
124.0,124.0,0.0030424388
125.0,125.0,0.004911452
126.0,126.0,0.007543645
127.0,127.0,0.12425642
128.0,128.0,0.6497199
129.0,129.0,0.39817345
130.0,130.0,0.73452663
131.0,131.0,0.13922924
132.0,132.0,0.23971839
133.0,133.0,0.1525653
134.0,134.0,0.017150177
135.0,135.0,0.018836508
136.0,136.0,1.9856637E-4
137.0,137.0,0.054631785
138.0,138.0,1.3230114E-4
139.0,139.0,0.0014707055
140.0,140.0,0.0018476112
141.0,141.0,0.5719436
142.0,142.0,0.0054027583
143.0,143.0,0.6722644
144.0,144.0,0.04879941
145.0,145.0,0.75956196
146.0,146.0,0.016069645
147.0,147.0,0.035105623
148.0,148.0,0.34683535
149.0,149.0,3.5756206E-5
150.0,150.0,0.010695858
151.0,151.0,0.08839402
152.0,152.0,0.13966544
153.0,153.0,2.507199E-4
154.0,154.0,0.05618139
155.0,155.0,0.06430974
156.0,156.0,0.0058128755
157.0,157.0,0.08737784
158.0,158.0,0.0014352913
159.0,159.0,0.6223811
160.0,160.0,0.045236558
161.0,161.0,0.12775871
162.0,162.0,0.025751201
163.0,163.0,0.049658816
164.0,164.0,0.07258479
165.0,165.0,0.015167933
166.0,166.0,0.68726057
167.0,167.0,0.11692118
168.0,168.0,0.31626025
169.0,169.0,0.13494314
170.0,170.0,0.3814128
171.0,171.0,0.20322669
172.0,172.0,0.0057568704
173.0,173.0,0.28447205
174.0,174.0,0.0010497398
175.0,175.0,0.0013170912
176.0,176.0,0.0054280823
177.0,177.0,0.01860767
178.0,178.0,0.034859706
179.0,179.0,0.09871172
180.0,180.0,0.025001053
181.0,181.0,0.060427926
182.0,182.0,0.032028105
183.0,183.0,0.522214
184.0,184.0,0.44493595
185.0,185.0,0.03155731
186.0,186.0,0.02087609
187.0,187.0,0.011054556
188.0,188.0,0.033212975
189.0,189.0,0.58112377
190.0,190.0,0.009383509
191.0,191.0,0.963681
192.0,192.0,0.10819325
193.0,193.0,0.0059082434
194.0,194.0,0.15132122
195.0,195.0,0.038231537
196.0,196.0,0.045084886
197.0,197.0,0.003943363
198.0,198.0,0.8788755
199.0,199.0,0.8257864
200.0,200.0,0.6878432
201.0,201.0,0.06923472
202.0,202.0,0.03156974
203.0,203.0,0.04320262
204.0,204.0,0.040747836
205.0,205.0,0.024657812
206.0,206.0,0.045109283
207.0,207.0,0.7163134
208.0,208.0,0.020730503
209.0,209.0,0.6774897
210.0,210.0,0.00489259
211.0,211.0,0.020597193
212.0,212.0,0.028341759
213.0,213.0,0.008058371
214.0,214.0,0.0980187
215.0,215.0,0.040400393
216.0,216.0,0.1124275
217.0,217.0,0.5050674
218.0,218.0,0.21137726
219.0,219.0,0.021680154
220.0,220.0,0.09859717
221.0,221.0,0.38946268
222.0,222.0,0.10084162
223.0,223.0,0.0042025517
224.0,224.0,0.050303496
225.0,225.0,0.107270986
226.0,226.0,0.81545156
227.0,227.0,4.6479294E-5
228.0,228.0,0.039757878
229.0,229.0,0.80613154
230.0,230.0,3.7875233E-4
231.0,231.0,0.62944454
232.0,232.0,0.24776901
233.0,233.0,0.0051140278
234.0,234.0,0.43211442
235.0,235.0,0.023376262
236.0,236.0,0.6648273
237.0,237.0,0.063939475
238.0,238.0,0.59656876
239.0,239.0,0.396706
240.0,240.0,0.0013102463
241.0,241.0,0.3545541
242.0,242.0,0.15665548
243.0,243.0,0.042436898
244.0,244.0,0.060445257
245.0,245.0,0.06061878
246.0,246.0,0.006999336
247.0,247.0,0.052409183
248.0,248.0,0.028859332
249.0,249.0,5.320877E-5
250.0,250.0,0.16833416
251.0,251.0,3.3420665E-4
252.0,252.0,0.24547969
253.0,253.0,0.013322544
254.0,254.0,0.7357172
255.0,255.0,0.6755865
256.0,256.0,0.03336878
257.0,257.0,0.038809016
258.0,258.0,0.40619662
259.0,259.0,0.004532193
260.0,260.0,0.14232124
261.0,261.0,0.037897058
262.0,262.0,0.06588717
263.0,263.0,0.0019134986
264.0,264.0,0.0040900935
265.0,265.0,0.049600884
266.0,266.0,0.025552217
267.0,267.0,0.063999824
268.0,268.0,0.01164505
269.0,269.0,0.49445263
270.0,270.0,0.021839233
271.0,271.0,0.014757335
272.0,272.0,1.643676E-5
273.0,273.0,0.4638894
274.0,274.0,0.019153642
275.0,275.0,0.07143143
276.0,276.0,2.2784732E-5
277.0,277.0,0.30523458
278.0,278.0,0.9359324
279.0,279.0,0.08700651
280.0,280.0,0.32388157
281.0,281.0,0.01190445
282.0,282.0,0.76338166
283.0,283.0,0.15456307
