x,y,species_0 cloglog values
1.0,1.0,0.35184708
2.0,2.0,0.657625
3.0,3.0,0.001813293
4.0,4.0,0.002145815
5.0,5.0,0.017003717
6.0,6.0,9.5681746E-5
7.0,7.0,0.008708091
8.0,8.0,1.2509349E-4
9.0,9.0,0.0029103807
10.0,10.0,0.011594334
11.0,11.0,0.113642626
12.0,12.0,7.063834E-5
13.0,13.0,0.22394384
14.0,14.0,3.131272E-6
15.0,15.0,0.001077804
16.0,16.0,3.558222E-5
17.0,17.0,0.017255936
18.0,18.0,0.26391885
19.0,19.0,0.034239233
20.0,20.0,0.0035505395
21.0,21.0,0.12843257
22.0,22.0,0.21691257
23.0,23.0,0.23915526
24.0,24.0,0.10420958
25.0,25.0,0.056536444
26.0,26.0,2.6281909E-4
27.0,27.0,0.0016870652
28.0,28.0,0.027495963
29.0,29.0,0.042640913
30.0,30.0,0.11641006
31.0,31.0,0.2755425
32.0,32.0,0.58106923
33.0,33.0,0.26272574
34.0,34.0,0.1379931
35.0,35.0,0.03541721
36.0,36.0,0.18983556
37.0,37.0,0.00506436
38.0,38.0,0.14634345
39.0,39.0,0.014655337
40.0,40.0,0.18113585
41.0,41.0,0.011198808
42.0,42.0,4.1466093E-4
43.0,43.0,0.2040297
44.0,44.0,0.0033516972
45.0,45.0,0.07796481
46.0,46.0,0.1914411
47.0,47.0,0.3553553
48.0,48.0,2.1405904E-5
49.0,49.0,0.01630056
50.0,50.0,0.20354982
51.0,51.0,1.5619196E-4
52.0,52.0,0.81468344
53.0,53.0,0.30010128
54.0,54.0,6.831273E-4
55.0,55.0,0.050152432
56.0,56.0,0.16821113
57.0,57.0,1.61445E-5
58.0,58.0,0.01627007
59.0,59.0,0.46279055
60.0,60.0,0.034194637
61.0,61.0,4.9561433E-5
62.0,62.0,2.2657166E-4
63.0,63.0,0.19046666
64.0,64.0,0.0047836355
65.0,65.0,0.21116804
66.0,66.0,0.4819363
67.0,67.0,8.3985284E-4
68.0,68.0,0.3328514
69.0,69.0,0.0056738094
70.0,70.0,0.085779935
71.0,71.0,0.008085133
72.0,72.0,0.31210813
73.0,73.0,4.6406403E-5
74.0,74.0,0.11744236
75.0,75.0,1.9128843E-6
76.0,76.0,7.648384E-5
77.0,77.0,0.011678282
78.0,78.0,7.677222E-4
79.0,79.0,0.001358296
80.0,80.0,0.057520773
81.0,81.0,0.0018836786
82.0,82.0,0.23973306
83.0,83.0,0.108830236
84.0,84.0,1.3676232E-4
85.0,85.0,8.4048946E-4
86.0,86.0,0.9529352
87.0,87.0,0.0010138465
88.0,88.0,0.6460097
89.0,89.0,0.52870405
90.0,90.0,0.076997384
91.0,91.0,0.025366263
92.0,92.0,0.392792
93.0,93.0,0.014603339
94.0,94.0,0.30079266
