Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.52081E-11,0.000000003,0.000000076,1,0,0
3.92263E-11,0.000000013,0.000000119,0.999690083,0,0
8.79884E-11,0.000000033,0.000000266,0.999380165,0,0
1.7145E-10,0.000000111,0.000000519,0.998760331,0,0
2.13619E-10,0.00000027,0.000000647,0.997933884,0,0
2.78436E-10,0.000001016,0.000000843,0.994938017,0,0
3.5369E-10,0.00000251,0.000001071,0.989979339,0,0
9.15565E-10,0.00001006,0.000002771,0.977376033,0,0
1.61582E-9,0.000025015,0.000004891,0.964979339,0,0
2.6023E-9,0.000050228,0.000007877,0.952376033,0,0
4.37835E-9,0.000100198,0.000013252,0.937293388,0,0
1.03176E-8,0.000250541,0.000031229,0.914566116,0,0
1.74625E-8,0.000501251,0.000052854,0.896487603,0,0
2.83443E-8,0.001001235,0.000085789,0.873553719,0,0
5.76815E-8,0.002502401,0.000174574,0.835847107,0,0
1.16017E-7,0.00500329,0.000351099,0.80464876,0,0
2.51277E-7,0.010024994,0.000760272,0.77427686,0,0
6.52157E-7,0.025018879,0.001971995,0.7375,0,0
1.07745E-6,0.050091299,0.003255908,0.70785124,0,0
1.9719E-6,0.100077526,0.005950748,0.672520661,0,0
3.59094E-6,0.200227798,0.010810174,0.634297521,0,0
5.62506E-6,0.30028565,0.016881762,0.611157025,0,0
7.6575E-6,0.400129571,0.022911105,0.595454545,0,0
9.61564E-6,0.500053311,0.02868507,0.583471074,0,0
1.12083E-5,0.600039173,0.033356204,0.573553719,0,0
1.28667E-5,0.70070497,0.038196163,0.564876033,0,0
1.41224E-5,0.750300308,0.041844883,0.561053719,0,0
1.50237E-5,0.800027663,0.044455202,0.557541322,0,0
1.67514E-5,0.900221414,0.04943912,0.551033058,0,0
1.86378E-5,1.001294172,0.054851045,0.545144628,0,0
1.9703E-5,1.101136381,0.057893335,0.539772727,0,0
2.12936E-5,1.201314126,0.062418267,0.534710744,0,0
2.23447E-5,1.302097332,0.065396305,0.529958678,0,0
2.32431E-5,1.400031825,0.06793432,0.525516529,0,0
2.43005E-5,1.502409017,0.070912701,0.52107438,0,0
2.67505E-5,1.752638944,0.077776849,0.510950413,0,0
2.89488E-5,2.001365447,0.08389289,0.501756198,0,0
3.16201E-5,2.252619153,0.09127011,0.493181818,0.026315789,0
3.40291E-5,2.502040619,0.097872143,0.485330579,0.026315789,0
3.62231E-5,2.751644635,0.103843052,0.477995868,0.026315789,0
3.83044E-5,3.000003064,0.109470697,0.47107438,0.026315789,0
4.0222E-5,3.251929883,0.114624698,0.46446281,0.026315789,0
4.23247E-5,3.504102834,0.120241605,0.458161157,0.026315789,0
4.41314E-5,3.75076758,0.125039401,0.452272727,0.026315789,0
4.57587E-5,4.002660839,0.129338587,0.446487603,0.026315789,0
4.75355E-5,4.254186372,0.134008224,0.440909091,0.026315789,0
4.98941E-5,4.50269331,0.140168598,0.435640496,0.026315789,0
5.20056E-5,4.751778226,0.145646219,0.430578512,0.026315789,0
5.3346E-5,5.004743799,0.149105441,0.425619835,0.026315789,0
5.5474E-5,5.254785483,0.154568627,0.420867769,0.026315789,0
5.71892E-5,5.502786235,0.158946256,0.416322314,0.052631579,0
5.85221E-5,5.751471259,0.162332497,0.411880165,0.052631579,0
5.98973E-5,6.000144663,0.165811983,0.407541322,0.052631579,0
6.15929E-5,6.255397218,0.170082469,0.403202479,0.052631579,0
6.30766E-5,6.504615074,0.173800975,0.399070248,0.078947368,0
6.43686E-5,6.753495729,0.177025751,0.395041322,0.105263158,0
6.56326E-5,7.000910556,0.180168166,0.391115702,0.105263158,0
6.71053E-5,7.253082588,0.183814425,0.387190083,0.105263158,0
6.81302E-5,7.503380063,0.186342466,0.383367769,0.131578947,0
6.92648E-5,7.750967936,0.189132021,0.37964876,0.131578947,0
7.04953E-5,8.002574675,0.192146515,0.375929752,0.131578947,0
7.2063E-5,8.252457981,0.195970794,0.37231405,0.131578947,0
7.31744E-5,8.506464511,0.198670846,0.368698347,0.131578947,0
7.41242E-5,8.75687489,0.200971319,0.36518595,0.131578947,0
7.50166E-5,9.003148782,0.203126654,0.36177686,0.131578947,0
7.61239E-5,9.252435641,0.205793002,0.358367769,0.131578947,0
7.70259E-5,9.505147537,0.207958408,0.354958678,0.131578947,0
7.7816E-5,9.753112525,0.209850197,0.351652893,0.131578947,0
7.89793E-5,10.004237285,0.212627366,0.348347107,0.131578947,0
