x,y,species avg
1.0,1.0,0.38858992
2.0,2.0,0.8372017
3.0,3.0,0.004313521
4.0,4.0,0.0046774005
5.0,5.0,0.1340349
6.0,6.0,2.939192E-4
7.0,7.0,0.028574025
8.0,8.0,6.7825994E-4
9.0,9.0,0.007992834
10.0,10.0,0.03178307
11.0,11.0,0.16550721
12.0,12.0,2.1050156E-4
13.0,13.0,0.20256521
14.0,14.0,1.2622299E-5
15.0,15.0,0.0020773374
16.0,16.0,9.826293E-5
17.0,17.0,0.028129473
18.0,18.0,0.30227655
19.0,19.0,0.060741104
20.0,20.0,0.0068576755
21.0,21.0,0.2913246
22.0,22.0,0.22300796
23.0,23.0,0.29247266
24.0,24.0,0.15579726
25.0,25.0,0.07745986
26.0,26.0,5.385896E-4
27.0,27.0,0.0033695593
28.0,28.0,0.051903665
29.0,29.0,0.07405829
30.0,30.0,0.116998844
31.0,31.0,0.2910453
32.0,32.0,0.6429151
33.0,33.0,0.28716707
34.0,34.0,0.15259159
35.0,35.0,0.06483279
36.0,36.0,0.29935235
37.0,37.0,0.013684306
38.0,38.0,0.16276431
39.0,39.0,0.031360008
40.0,40.0,0.22001286
41.0,41.0,0.0228855
42.0,42.0,0.0016775059
43.0,43.0,0.1927139
44.0,44.0,0.012613514
45.0,45.0,0.103589416
46.0,46.0,0.2593943
47.0,47.0,0.36223108
48.0,48.0,5.69693E-5
49.0,49.0,0.038149945
50.0,50.0,0.28290424
51.0,51.0,3.8207977E-4
52.0,52.0,0.73375636
53.0,53.0,0.29130515
54.0,54.0,0.0016498786
55.0,55.0,0.2805216
56.0,56.0,0.20589064
57.0,57.0,8.690018E-5
58.0,58.0,0.033982057
59.0,59.0,0.46344554
60.0,60.0,0.110728405
61.0,61.0,1.6317592E-4
62.0,62.0,4.980646E-4
63.0,63.0,0.22485237
64.0,64.0,0.012232519
65.0,65.0,0.2473407
66.0,66.0,0.42779014
67.0,67.0,0.0026105205
68.0,68.0,0.495208
69.0,69.0,0.021727707
70.0,70.0,0.18164213
71.0,71.0,0.024757922
72.0,72.0,0.41607526
73.0,73.0,1.1364818E-4
74.0,74.0,0.188987
75.0,75.0,4.2649204E-5
76.0,76.0,2.2963915E-4
77.0,77.0,0.03161871
78.0,78.0,0.0019703694
79.0,79.0,0.0035266855
80.0,80.0,0.14735758
81.0,81.0,0.005151586
82.0,82.0,0.25572544
83.0,83.0,0.18824425
84.0,84.0,0.0015516734
85.0,85.0,0.0013928277
86.0,86.0,0.91216356
87.0,87.0,0.008736208
88.0,88.0,0.8025768
89.0,89.0,0.7351092
90.0,90.0,0.2277489
91.0,91.0,0.058503937
92.0,92.0,0.46364725
93.0,93.0,0.026433082
94.0,94.0,0.33487293
95.0,95.0,0.9996656
96.0,96.0,0.45050496
97.0,97.0,0.036688823
98.0,98.0,1.3588887E-4
99.0,99.0,1.3857511E-4
100.0,100.0,0.00101868
101.0,101.0,0.12703091
102.0,102.0,0.2408679
103.0,103.0,0.86765456
104.0,104.0,0.28392574
105.0,105.0,2.1543737E-4
106.0,106.0,5.998575E-5
107.0,107.0,4.2933507E-6
108.0,108.0,0.22045071
109.0,109.0,0.009976277
110.0,110.0,8.539874E-6
111.0,111.0,0.5377834
112.0,112.0,0.08979381
113.0,113.0,4.0082945E-4
114.0,114.0,0.021540571
115.0,115.0,0.26466402
116.0,116.0,0.039131742
117.0,117.0,6.7598645E-5
118.0,118.0,0.52735996
119.0,119.0,1.4260363E-4
120.0,120.0,2.5180574E-5
121.0,121.0,6.7689965E-5
122.0,122.0,1.0506027E-4
