x,y,species median
1.0,1.0,0.35861355
2.0,2.0,0.86831725
3.0,3.0,0.0050926316
4.0,4.0,0.0038278454
5.0,5.0,0.15113871
6.0,6.0,2.4560085E-4
7.0,7.0,0.03297265
8.0,8.0,8.250397E-4
9.0,9.0,0.0072684977
10.0,10.0,0.03213497
11.0,11.0,0.15242194
12.0,12.0,1.16968506E-4
13.0,13.0,0.21220846
14.0,14.0,3.3577792E-6
15.0,15.0,0.0016886087
16.0,16.0,5.2097228E-5
17.0,17.0,0.030516848
18.0,18.0,0.26391885
19.0,19.0,0.05432879
20.0,20.0,0.006394193
21.0,21.0,0.29394403
22.0,22.0,0.21691257
23.0,23.0,0.3430176
24.0,24.0,0.16973872
25.0,25.0,0.08043789
26.0,26.0,3.5686424E-4
27.0,27.0,0.003057434
28.0,28.0,0.046115473
29.0,29.0,0.07460958
30.0,30.0,0.11641006
31.0,31.0,0.2799277
32.0,32.0,0.6378675
33.0,33.0,0.2810307
34.0,34.0,0.14910553
35.0,35.0,0.0676603
36.0,36.0,0.30878532
37.0,37.0,0.011640038
38.0,38.0,0.16721596
39.0,39.0,0.029490372
40.0,40.0,0.23839739
41.0,41.0,0.022457663
42.0,42.0,0.0018131401
43.0,43.0,0.2040297
44.0,44.0,0.012647511
45.0,45.0,0.09951457
46.0,46.0,0.27948725
47.0,47.0,0.40917152
48.0,48.0,2.7504047E-5
49.0,49.0,0.04707576
50.0,50.0,0.28666073
51.0,51.0,2.3091857E-4
52.0,52.0,0.7081561
53.0,53.0,0.30010128
54.0,54.0,0.001438968
55.0,55.0,0.3184416
56.0,56.0,0.18959093
57.0,57.0,3.5273646E-5
58.0,58.0,0.033701304
59.0,59.0,0.4486911
60.0,60.0,0.10464643
61.0,61.0,8.529406E-5
62.0,62.0,3.0532404E-4
63.0,63.0,0.21247719
64.0,64.0,0.010353446
65.0,65.0,0.24085994
66.0,66.0,0.41949552
67.0,67.0,0.0025219005
68.0,68.0,0.52973056
69.0,69.0,0.01375225
70.0,70.0,0.1914682
71.0,71.0,0.026394764
72.0,72.0,0.40737286
73.0,73.0,6.259895E-5
74.0,74.0,0.18928431
75.0,75.0,1.7917437E-5
76.0,76.0,1.3394967E-4
77.0,77.0,0.02452971
78.0,78.0,0.0014804379
79.0,79.0,0.0033349881
80.0,80.0,0.13488495
81.0,81.0,0.00621805
82.0,82.0,0.23973306
83.0,83.0,0.19148973
84.0,84.0,0.0011038604
85.0,85.0,0.0010572127
86.0,86.0,0.91533935
87.0,87.0,0.007567617
88.0,88.0,0.83446366
89.0,89.0,0.743336
90.0,90.0,0.26185375
91.0,91.0,0.055044223
92.0,92.0,0.45252016
93.0,93.0,0.025914893
94.0,94.0,0.32123202
95.0,95.0,0.9999765
96.0,96.0,0.4117282
97.0,97.0,0.03638164
98.0,98.0,6.897003E-5
99.0,99.0,7.160433E-5
100.0,100.0,9.7596215E-4
101.0,101.0,0.122554
102.0,102.0,0.24913594
103.0,103.0,0.8644638
104.0,104.0,0.29178822
105.0,105.0,1.3342148E-4
106.0,106.0,2.7243179E-5
107.0,107.0,7.9689653E-7
108.0,108.0,0.230905
109.0,109.0,0.008202725
110.0,110.0,4.4778403E-6
111.0,111.0,0.6635692
112.0,112.0,0.085388705
113.0,113.0,2.8842824E-4
114.0,114.0,0.025169296
115.0,115.0,0.29178798
116.0,116.0,0.03602778
117.0,117.0,3.6737038E-5
118.0,118.0,0.50571734
119.0,119.0,7.2611E-5
120.0,120.0,9.044242E-6
121.0,121.0,2.9802559E-5
122.0,122.0,5.0998264E-5
123.0,123.0,0.12497773
124.0,124.0,0.22216146
125.0,125.0,0.21025431
126.0,126.0,0.35599014
127.0,127.0,0.5172569
128.0,128.0,5.4284792E-5
129.0,129.0,0.0064664097
130.0,130.0,0.003789911
131.0,131.0,0.0028819884
132.0,132.0,0.016862206
133.0,133.0,0.16500951
134.0,134.0,3.26797E-6
135.0,135.0,7.2734533E-6
136.0,136.0,0.5247505
137.0,137.0,0.07362729
138.0,138.0,0.058924712
139.0,139.0,0.3071718
140.0,140.0,0.051795535
141.0,141.0,0.27539393
142.0,142.0,1.9030769E-4
143.0,143.0,0.115068
144.0,144.0,0.20869209
145.0,145.0,0.38082018
146.0,146.0,0.4284095
147.0,147.0,0.18390165
148.0,148.0,0.26783675
149.0,149.0,7.593189E-4
150.0,150.0,5.1306138E-6
151.0,151.0,0.11743515
152.0,152.0,0.008585887
153.0,153.0,0.18869078
154.0,154.0,0.2442184
155.0,155.0,1.3758945E-6
156.0,156.0,0.0036254446
157.0,157.0,0.21713771
158.0,158.0,0.41633832
159.0,159.0,0.2093622
160.0,160.0,0.9985156
161.0,161.0,5.0173E-5
