x,y,species stddev
1.0,1.0,0.06087846
2.0,2.0,0.092510104
3.0,3.0,0.0015718093
4.0,4.0,0.0021540045
5.0,5.0,0.062641956
6.0,6.0,1.6021058E-4
7.0,7.0,0.010653355
8.0,8.0,4.1297654E-4
9.0,9.0,0.0037760884
10.0,10.0,0.012986778
11.0,11.0,0.045466542
12.0,12.0,1.5416092E-4
13.0,13.0,0.0591497
14.0,14.0,1.3885074E-5
15.0,15.0,9.525816E-4
16.0,16.0,7.69058E-5
17.0,17.0,0.008427465
18.0,18.0,0.13933015
19.0,19.0,0.030955384
20.0,20.0,0.0028276742
21.0,21.0,0.10126556
22.0,22.0,0.054588
23.0,23.0,0.07258099
24.0,24.0,0.041755907
25.0,25.0,0.021150183
26.0,26.0,3.961738E-4
27.0,27.0,0.0014771945
28.0,28.0,0.027619027
29.0,29.0,0.021750582
30.0,30.0,0.0379948
31.0,31.0,0.06658773
32.0,32.0,0.082338475
33.0,33.0,0.07557177
34.0,34.0,0.038096104
35.0,35.0,0.023267165
36.0,36.0,0.06988533
37.0,37.0,0.006338232
38.0,38.0,0.0287117
39.0,39.0,0.0113576045
40.0,40.0,0.046301194
41.0,41.0,0.008450022
42.0,42.0,8.47477E-4
43.0,43.0,0.02466003
44.0,44.0,0.0057408186
45.0,45.0,0.019283682
46.0,46.0,0.1435763
47.0,47.0,0.080266066
48.0,48.0,4.625089E-5
49.0,49.0,0.020044588
50.0,50.0,0.061108943
51.0,51.0,2.4841478E-4
52.0,52.0,0.05624706
53.0,53.0,0.07252226
54.0,54.0,8.027869E-4
55.0,55.0,0.1290717
56.0,56.0,0.06340163
57.0,57.0,8.958349E-5
58.0,58.0,0.01204151
59.0,59.0,0.16370907
60.0,60.0,0.06411179
61.0,61.0,1.3061495E-4
62.0,62.0,3.101808E-4
63.0,63.0,0.06043351
64.0,64.0,0.0054823244
65.0,65.0,0.07394651
66.0,66.0,0.10476021
67.0,67.0,0.0012862333
68.0,68.0,0.09623172
69.0,69.0,0.015584973
70.0,70.0,0.06507242
71.0,71.0,0.009266654
72.0,72.0,0.06849742
73.0,73.0,8.3518884E-5
74.0,74.0,0.06190322
75.0,75.0,5.036694E-5
76.0,76.0,1.6491552E-4
77.0,77.0,0.020291708
78.0,78.0,0.0010309641
79.0,79.0,0.0015777072
80.0,80.0,0.06822169
81.0,81.0,0.0019736064
82.0,82.0,0.06446809
83.0,83.0,0.066278026
84.0,84.0,0.0013120722
85.0,85.0,5.9385225E-4
86.0,86.0,0.037658762
87.0,87.0,0.005617736
88.0,88.0,0.09499791
89.0,89.0,0.11542537
90.0,90.0,0.08517705
91.0,91.0,0.028711386
92.0,92.0,0.06293951
93.0,93.0,0.008859178
94.0,94.0,0.06288661
95.0,95.0,6.2723743E-4
96.0,96.0,0.13824935
97.0,97.0,0.01821906
98.0,98.0,1.0474441E-4
99.0,99.0,1.124209E-4
100.0,100.0,4.5002264E-4
101.0,101.0,0.037219577
102.0,102.0,0.055643015
103.0,103.0,0.043351837
104.0,104.0,0.058668673
105.0,105.0,1.5354871E-4
106.0,106.0,7.2270646E-5
107.0,107.0,5.193856E-6
108.0,108.0,0.04470156
109.0,109.0,0.0048341877
110.0,110.0,9.49801E-6
111.0,111.0,0.22350137
112.0,112.0,0.035985
113.0,113.0,2.3372703E-4
114.0,114.0,0.006722595
115.0,115.0,0.08183932
116.0,116.0,0.020569742
117.0,117.0,5.368213E-5
118.0,118.0,0.1177938
119.0,119.0,1.1784648E-4
120.0,120.0,2.4422996E-5
121.0,121.0,5.960934E-5
122.0,122.0,1.0872574E-4
123.0,123.0,0.09532698
124.0,124.0,0.09049926
125.0,125.0,0.055044364
